checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,7220,-40.653297424316406,1805,miss,2621.4153218721326,36.100000000000044,-96.60094840969086
1,2,7312,-29.74444580078125,1828,miss,1759.1846487031612,36.560000000000116,-99.73107967813476
1,3,7596,-20.401887893676758,1899,miss,1348.071788056941,37.98000000000034,-106.55467053860144
1,4,9000,-39.19273376464844,2250,timeout,2648.6813632000512,45.000000000001435,-85.9936745458881
1,5,15968,-31.639751434326172,2187,miss,2305.232788705934,43.74000000000124,-90.00951448276437
1,6,16312,-23.645402908325195,2250,timeout,1899.743727056677,45.000000000001435,-95.95535987923509
1,7,16596,11.001506805419922,2250,timeout,226.0744516813694,45.000000000001435,-92.72854820333792
1,8,18000,-5.27828311920166,2250,timeout,1127.178570823526,45.000000000001435,-88.48244971242639
1,9,24968,-25.60767364501953,2250,timeout,1882.74427930752,45.000000000001435,-90.57039884824876
1,10,25312,3.012676239013672,2250,timeout,728.9515359223143,45.000000000001435,-94.70597581385599
1,11,25596,2.7028932571411133,2250,timeout,823.4285081002871,45.000000000001435,-85.76484561324521
1,12,27000,-7.291173934936523,2250,timeout,728.1912543051707,45.000000000001435,-115.3139866796077
1,13,33968,-14.124296188354492,2250,timeout,1336.972449466387,45.000000000001435,-84.0579723929901
1,14,34312,-43.19379806518555,2250,timeout,2633.1653491172037,45.000000000001435,-93.17186292870083
1,15,34596,-16.33749771118164,2250,timeout,1356.0896153850874,45.000000000001435,-98.13004251182889
1,16,36000,-20.31253433227539,2250,timeout,1776.1431931506163,45.000000000001435,-86.95386048067103
1,17,42968,9.65237808227539,2250,timeout,440.6243156284431,45.000000000001435,-110.19919840437831
1,18,43312,-43.0443115234375,2250,timeout,2879.164774765882,45.000000000001435,-97.95869962592577
1,19,43596,-1.799271583557129,2250,timeout,1049.4515961516981,45.000000000001435,-81.62330028138774
1,20,45000,12.424604415893555,2250,timeout,487.49943745645885,45.000000000001435,-91.14243943312817
1,21,51620,-45.60322189331055,2077,miss,3143.610201677436,41.540000000000894,-97.139640267375
1,22,51968,-4.450909614562988,2250,timeout,1066.8441328376357,45.000000000001435,-79.62383562717943
1,23,52596,-9.261540412902832,2250,timeout,1332.186117744473,45.000000000001435,-76.9421591526432
1,24,54000,3.8608570098876953,2250,timeout,608.2783370640444,45.000000000001435,-107.94660546588666
1,25,60620,-4.24871826171875,2250,timeout,705.2339440937442,45.000000000001435,-103.62354081605406
1,26,60968,-4.471954345703125,2250,timeout,909.2722380607253,45.000000000001435,-84.62522431440502
1,27,61332,0.13053607940673828,2184,miss,880.9394001906691,43.68000000000123,-88.9987537427209
1,28,63000,-48.448387145996094,2250,timeout,3312.3514712369874,45.000000000001435,-103.15086990846666
1,29,68604,-29.710121154785156,1909,miss,1621.6318326672197,38.18000000000037,-105.59897399230621
1,30,69620,-3.5779457092285156,2250,timeout,1103.6314059140905,45.000000000001435,-85.77333450795996
1,31,70304,-5.811832427978516,2243,miss,1000.9880148053949,44.86000000000141,-105.42148091062207
1,32,71128,-41.2566032409668,2032,miss,2782.825054238004,40.640000000000754,-100.79781210811687
1,33,77604,-6.447183609008789,2250,timeout,1047.1513427527252,45.000000000001435,-105.68054420823933
1,34,78620,8.076627731323242,2250,timeout,421.1308605701869,45.000000000001435,-99.53628088648584
1,35,79012,13.750361442565918,2177,miss,447.54003047064145,43.54000000000121,-87.21797751481203
1,36,80128,-15.849078178405762,2250,timeout,1179.8983481942955,45.000000000001435,-95.23741657970349
1,37,86604,-28.547077178955078,2250,timeout,1952.4216841309487,45.000000000001435,-95.34881569965172
1,38,87620,-28.055782318115234,2250,timeout,2110.1040676343614,45.000000000001435,-90.3493350948198
1,39,87804,-19.614662170410156,2198,miss,1720.4024009191614,43.96000000000127,-81.07983740077069
1,40,89128,-17.59194564819336,2250,timeout,1244.612198758052,45.000000000001435,-100.49121971550288
1,41,95400,-28.82861328125,1945,miss,1834.0939805668315,38.90000000000048,-99.3379648137843
1,42,95476,1.1445398330688477,2218,miss,821.8726262093777,44.360000000001335,-93.28840177367576
1,43,96804,-10.080484390258789,2250,timeout,1349.179952822466,45.000000000001435,-73.82551623701019
1,44,98128,-35.085044860839844,2250,timeout,2064.218967843126,45.000000000001435,-102.78465117543222
1,45,103048,-44.18718338012695,1912,miss,2637.8197898506305,38.24000000000038,-102.27207739652174
1,46,104288,-46.60236358642578,1871,miss,3064.297222857712,37.42000000000025,-96.57696998815089
1,47,104476,-14.666864395141602,2250,timeout,1525.2884776006151,45.000000000001435,-81.97139445924198
1,48,107128,-24.61281967163086,2250,timeout,2003.4257414337646,45.000000000001435,-83.20985456405414
1,49,112048,3.244770050048828,2250,timeout,755.6948421259046,45.000000000001435,-97.19802898384738
1,50,112228,-28.24860382080078,1938,miss,1909.5214453039853,38.76000000000046,-92.91774719092773
1,51,113288,-41.91402816772461,2250,timeout,1985.0126386609165,45.000000000001435,-97.7218402703643
1,52,116128,12.169855117797852,2250,timeout,421.26416121600676,45.000000000001435,-99.23854506344942
1,53,121048,14.568138122558594,2250,timeout,190.48398595941248,45.000000000001435,-104.41597348152543
1,54,121228,20.994110107421875,2250,timeout,75.1461874791909,45.000000000001435,-95.74385868012841
1,55,121956,3.846515655517578,2167,miss,691.6492566307426,43.340000000001176,-91.28959542922549
1,56,125128,6.904165267944336,2250,timeout,529.2566419764972,45.000000000001435,-104.11632991261445
1,57,130048,16.17302894592285,2250,timeout,288.27393780748986,45.000000000001435,-97.82836749451704
1,58,130228,-1.413212537765503,2250,timeout,1085.1232512095914,45.000000000001435,-69.09881085040587
1,59,130956,3.1448745727539062,2250,timeout,806.6379617039046,45.000000000001435,-77.41288692019089
1,60,134088,5.0912628173828125,2240,miss,776.2184499336778,44.800000000001404,-86.0039281312742
1,61,139048,-6.063541889190674,2250,timeout,1172.3933387573973,45.000000000001435,-72.3335010468156
1,62,139228,7.246578216552734,2250,timeout,624.758379038966,45.000000000001435,-94.22847027996998
1,63,139956,0.09809303283691406,2250,timeout,893.819783054087,45.000000000001435,-84.6505084039871
1,64,141548,-40.307823181152344,1865,miss,2349.1915308378557,37.30000000000023,-95.86579484923709
1,65,148048,-33.582027435302734,2250,timeout,2100.0611860477657,45.000000000001435,-96.74200131558302
1,66,148228,-8.164079666137695,2250,timeout,1150.1561245811968,45.000000000001435,-78.70993206290117
1,67,148956,-8.304956436157227,2250,timeout,1201.8491054664871,45.000000000001435,-90.67776207346333
1,68,150548,-5.546206474304199,2250,timeout,1185.5716538934887,45.000000000001435,-73.17565454638616
1,69,157048,-21.622802734375,2250,timeout,1731.6131200743941,45.000000000001435,-83.9396078028875
1,70,157228,-22.28508949279785,2250,timeout,1859.7650084517215,45.000000000001435,-85.28297914348846
1,71,157956,-24.620742797851562,2250,timeout,1809.5666272404183,45.000000000001435,-89.60435934377176
1,72,159548,7.061321258544922,2250,timeout,370.9392379391279,45.000000000001435,-105.67276332452055
1,73,166048,-1.7496728897094727,2250,timeout,979.7250021517582,45.000000000001435,-89.62449221923437
1,74,166228,11.896674156188965,2250,timeout,521.9864856182123,45.000000000001435,-90.15588729813292
1,75,166548,-15.927680015563965,2148,miss,1597.9693995404148,42.960000000001116,-77.71410528543124
1,76,167476,-14.056900024414062,1982,miss,1127.616706837955,39.6400000000006,-100.35907844423913
1,77,175048,1.730989933013916,2250,timeout,907.6355139414276,45.000000000001435,-71.30829060499158
1,78,175228,-16.724971771240234,2250,timeout,1395.093154675046,45.000000000001435,-92.87264837091674
1,79,175548,5.29241943359375,2250,timeout,705.1682850963156,45.000000000001435,-96.19938260441734
1,80,176240,8.25993537902832,2191,miss,519.7082044517367,43.82000000000125,-96.2941891487374
