checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,7220,-33.731544494628906,1805,miss,1671.360419431759,36.100000000000044,-123.90067733009873
1,2,7312,-12.135651588439941,1828,miss,1153.1029296556999,36.560000000000116,-105.7009546703999
1,3,7596,13.680168151855469,1899,miss,306.444925124578,37.98000000000034,-130.2125342460743
1,4,9000,-34.9303092956543,2250,timeout,1411.3591350446814,45.000000000001435,-88.36103841283389
1,5,15936,-25.529781341552734,2179,miss,1407.4582149393375,43.58000000000121,-103.66063054140143
1,6,16076,-24.8278751373291,1769,miss,1478.0942612313288,35.37999999999993,-94.5173858584188
1,7,16080,-16.635997772216797,2192,miss,1046.1909684789039,43.840000000001254,-84.03049907490218
1,8,16596,-23.313026428222656,2250,timeout,1041.0622077987332,45.000000000001435,-136.15425145650968
1,9,24868,-17.728809356689453,2233,miss,1283.0256694919883,44.66000000000138,-111.28675261247915
1,10,25076,-30.217693328857422,2250,timeout,1168.4568631566974,45.000000000001435,-137.23430479364583
1,11,25080,-9.243257522583008,2250,timeout,701.2840157405361,45.000000000001435,-95.90292819082126
1,12,25596,-3.695606231689453,2250,timeout,719.8979438318823,45.000000000001435,-118.85173193467871
1,13,33352,-55.022117614746094,2069,miss,2397.983036707857,41.38000000000087,-91.98925859819306
1,14,33724,-51.019004821777344,2032,miss,2511.011225362073,40.640000000000754,-104.02759547540548
1,15,33868,-50.674434661865234,2250,timeout,2516.297861290772,45.000000000001435,-110.12672692327044
1,16,34080,-60.035972595214844,2250,timeout,3383.001158861614,45.000000000001435,-101.32793530080258
1,17,41204,-6.814483642578125,1963,miss,821.0658352488158,39.26000000000054,-130.58091134479804
1,18,42036,-15.823097229003906,1989,miss,1231.3395668906157,39.78000000000062,-107.89126139549076
1,19,42724,-31.98122787475586,2250,timeout,1863.2552061546376,45.000000000001435,-125.91116523726171
1,20,42868,9.996959686279297,2250,timeout,309.1659688145541,45.000000000001435,-89.6140929731857
1,21,48836,-17.071372985839844,1908,miss,1015.5653430479018,38.160000000000366,-80.52759877806275
1,22,49732,-9.300827026367188,1924,miss,866.5287385750815,38.480000000000416,-130.90630415097723
1,23,51168,4.613716125488281,2075,miss,277.9560246796674,41.50000000000089,-98.52371760038999
1,24,51420,1.0742111206054688,2174,miss,632.9994130575332,43.4800000000012,-124.11707832649299
1,25,57804,-13.008768081665039,2242,miss,941.4352453135423,44.84000000000141,-152.9589096936533
1,26,58732,-30.549264907836914,2250,timeout,1495.4017688735441,45.000000000001435,-115.40579279604898
1,27,60168,-14.973847389221191,2250,timeout,1155.6717332556464,45.000000000001435,-119.51713560104494
1,28,60420,-21.43511390686035,2250,timeout,1399.0991158797447,45.000000000001435,-154.6592425753051
1,29,66804,-32.749446868896484,2250,timeout,1806.5913426038435,45.000000000001435,-126.5143849403956
1,30,67732,-22.10417938232422,2250,timeout,1250.2252960490869,45.000000000001435,-95.80942250331252
1,31,68776,-35.99223327636719,2152,miss,2055.56691908809,43.04000000000113,-117.69561574786684
1,32,69420,4.819561004638672,2250,timeout,478.6215756630497,45.000000000001435,-105.8126953296353
1,33,74344,-25.059925079345703,1885,miss,1603.2377379067354,37.700000000000294,-69.24829626569493
1,34,75260,-41.60783004760742,1882,miss,2095.335518171917,37.640000000000285,-87.41159188921516
1,35,77640,-38.15729522705078,2055,miss,1896.937102471797,41.100000000000826,-133.83995072133195
1,36,77776,-7.99030876159668,2250,timeout,746.2839197325407,45.000000000001435,-82.90696128874472
1,37,81500,-13.579008102416992,1789,miss,1012.4727987644917,35.779999999999994,-67.27597494210015
1,38,82856,-4.329647064208984,1899,miss,894.9760167799664,37.98000000000034,-112.19123883613136
1,39,85280,-33.46159362792969,1910,miss,1449.3950460950448,38.20000000000037,-94.83246139869573
1,40,85552,-9.003824234008789,1944,miss,748.3032855532192,38.88000000000048,-107.86629855956551
1,41,89456,-3.9765396118164062,1989,miss,699.4694260803985,39.78000000000062,-116.32454977375207
1,42,91784,7.664703369140625,2232,miss,331.0823942008945,44.64000000000138,-143.22789182118333
1,43,94280,-50.715492248535156,2250,timeout,2750.896137206953,45.000000000001435,-144.44223824210982
1,44,94552,3.9722366333007812,2250,timeout,545.0714659815235,45.000000000001435,-122.07976635314544
1,45,98456,-26.117586135864258,2250,timeout,1417.4648571952287,45.000000000001435,-112.93737129746772
1,46,100784,-6.899408340454102,2250,timeout,882.7446631277065,45.000000000001435,-117.3128146376057
1,47,102216,-16.86388397216797,1984,miss,1217.9222911173963,39.680000000000604,-81.78068056615325
1,48,103552,-10.941160202026367,2250,timeout,1031.9859423990974,45.000000000001435,-137.33733799794862
1,49,105520,-5.230480194091797,1766,miss,906.0820030320622,35.31999999999992,-100.05144799869517
1,50,108052,19.869359970092773,1817,miss,133.59594657048805,36.34000000000008,-87.21394760727614
1,51,111216,-36.37156295776367,2250,timeout,1381.1485031514376,45.000000000001435,-118.30591381789728
1,52,112480,-9.912253379821777,2232,miss,974.5117357688633,44.64000000000138,-89.1084371014151
1,53,114340,-11.089994430541992,2205,miss,674.9070046398757,44.100000000001295,-98.27944517803331
1,54,116288,7.1158294677734375,2059,miss,108.1478598433224,41.18000000000084,-124.94066543867056
1,55,118532,-45.39246368408203,1829,miss,2354.8747111918733,36.58000000000012,-117.52053347648442
1,56,120016,6.254487991333008,1884,miss,482.0300920936554,37.68000000000029,-101.84513182643619
1,57,122584,-30.93800926208496,2061,miss,1515.1820820632186,41.220000000000844,-106.52062473825785
1,58,123868,-20.186416625976562,1895,miss,991.9174217951827,37.900000000000325,-119.52940597353394
1,59,126660,-24.215564727783203,2032,miss,1593.707629476354,40.640000000000754,-128.05308106880264
1,60,129016,10.629342079162598,2250,timeout,339.48642041101743,45.000000000001435,-70.32167768018179
1,61,130024,-49.4399528503418,1860,miss,2380.6614171977867,37.200000000000216,-103.14908394280071
1,62,132260,-3.1116104125976562,2098,miss,632.1761633700812,41.96000000000096,-112.96558877633132
1,63,135064,-16.550622940063477,2101,miss,1125.4590780273898,42.02000000000097,-108.29195598215227
1,64,138016,-1.817983627319336,2250,timeout,718.178660193841,45.000000000001435,-104.72102538838462
1,65,139024,-40.035064697265625,2250,timeout,1415.7780102829115,45.000000000001435,-75.81933427842884
1,66,140352,15.999458312988281,2023,miss,153.74558348809592,40.460000000000726,-99.88585211149858
1,67,143228,9.585725784301758,2041,miss,307.13513915814417,40.82000000000078,-91.64956911372164
1,68,145500,0.6791152954101562,1871,miss,549.866640123195,37.42000000000025,-105.1142453639127
1,69,148024,-24.612892150878906,2250,timeout,1176.9268918004882,45.000000000001435,-66.52418086446866
1,70,149140,6.034452438354492,2197,miss,302.328704133552,43.94000000000127,-110.6393831416416
1,71,149928,-35.87759780883789,1675,miss,1961.987055417144,33.49999999999964,-118.60550440660353
1,72,152640,-21.689117431640625,1785,miss,1354.9898685997507,35.69999999999998,-85.05519161746392
1,73,156028,-5.045920372009277,2001,miss,777.4703598601402,40.02000000000066,-68.69690494536457
1,74,157172,-58.55187225341797,2008,miss,3349.685990991032,40.16000000000068,-106.52307121628715
1,75,158928,-7.482490539550781,2250,timeout,543.503671745244,45.000000000001435,-92.67160821884823
1,76,161156,-31.970300674438477,2129,miss,1380.250688544215,42.58000000000106,-120.01143650378538
1,77,165028,-10.978544235229492,2250,timeout,870.296006195473,45.000000000001435,-71.22597735416812
1,78,165296,1.0248889923095703,2031,miss,468.92175028960116,40.62000000000075,-82.21001445639496
1,79,167928,3.080263137817383,2250,timeout,557.3019048406082,45.000000000001435,-104.739208404917
1,80,170156,12.313846588134766,2250,timeout,227.64651228331653,45.000000000001435,-106.28802822331149
1,81,173172,-14.004776000976562,2036,miss,579.1154878576833,40.720000000000766,-94.26620327451637
1,82,174296,-45.862422943115234,2250,timeout,1869.4407282432153,45.000000000001435,-122.07372690412637
1,83,176928,-8.070960998535156,2250,timeout,869.9995098853151,45.000000000001435,-119.11214992479664
