checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,7220,-76.25672912597656,1805,miss,1652.3113836744703,36.100000000000044,-111.85010490502782
1,2,7312,-61.41468048095703,1828,miss,1294.7603159707253,36.560000000000116,-99.60721321784291
1,3,7596,8.567159652709961,1899,miss,155.36744499865029,37.98000000000034,-112.12363351424763
1,4,8084,-84.55951690673828,2021,miss,1840.834213793715,40.42000000000072,-109.86547014467368
1,5,15472,-67.77273559570312,1847,miss,1626.5349369902451,36.940000000000175,-94.70556562764483
1,6,15968,-53.083248138427734,2187,miss,902.1244009484769,43.74000000000124,-124.86260380107541
1,7,16312,-75.11479187011719,2250,timeout,1590.729360734055,45.000000000001435,-115.24848782396015
1,8,16596,-69.25733947753906,2250,timeout,1110.8429988161329,45.000000000001435,-136.32917428001767
2,9,27548,-56.22138214111328,1767,miss,1058.464247036948,35.339999999999925,-95.0027557775052
2,10,29100,-65.75106048583984,2155,miss,1178.3457415227267,43.10000000000114,-128.9868584786375
2,11,29480,-65.5269546508789,2250,timeout,1145.450430655546,45.000000000001435,-126.7401477788568
2,12,29480,-77.95509338378906,2250,timeout,1782.2005098696347,45.000000000001435,-125.69132728408303
2,13,34536,-85.26467895507812,1747,miss,1932.7946965706649,34.93999999999986,-145.60063713672815
2,14,37344,-64.77429962158203,2061,miss,1288.641745635124,41.220000000000844,-121.34490394358997
2,15,38480,-59.948768615722656,2250,timeout,969.8909248336784,45.000000000001435,-145.0137043712279
2,16,38480,-69.8440170288086,2250,timeout,1392.4173765159985,45.000000000001435,-122.10823303120951
3,17,49308,-55.738487243652344,2087,miss,1028.0157859129367,41.740000000000926,-133.70347937349362
3,18,49424,-24.05768585205078,2116,miss,530.7471272967578,42.320000000001016,-139.05322222382972
3,19,49960,-69.7125015258789,2250,timeout,1449.1958109680545,45.000000000001435,-116.98774496770875
3,20,49960,-37.366798400878906,2250,timeout,622.7689471487259,45.000000000001435,-120.06341916338319
3,21,56736,-78.03296661376953,1694,miss,3612.4056871459634,33.8799999999997,-132.04471205852246
3,22,57996,-73.68424987792969,2143,miss,3661.5045109523853,42.8600000000011,-138.42568997918002
3,23,58308,-79.04074096679688,2250,timeout,1649.0353066713667,45.000000000001435,-79.46868075600602
3,24,58960,-76.74681091308594,2250,timeout,2039.88829721125,45.000000000001435,-150.67331586322325
4,25,70032,-74.3038330078125,2148,miss,2341.341715858466,42.960000000001116,-146.03006932711392
4,26,70248,-79.65135955810547,2202,miss,3578.0245726746016,44.040000000001285,-134.35282666220996
4,27,70440,-77.17852783203125,2250,timeout,3724.3907564076253,45.000000000001435,-134.38661246119972
4,28,70440,-75.90807342529297,2250,timeout,2351.3585694130347,45.000000000001435,-142.39695918692195
4,29,77744,-87.04226684570312,1826,miss,2819.6639434810218,36.52000000000011,-145.78443607979736
4,30,79032,-83.63780212402344,2250,timeout,4277.762713870442,45.000000000001435,-123.54364865937063
4,31,79248,-66.66416931152344,2250,timeout,1486.2168639059591,45.000000000001435,-94.96822957021604
4,32,79440,-79.1212158203125,2250,timeout,2884.5002281166317,45.000000000001435,-144.48044984363844
5,33,88612,-86.14675903320312,1673,miss,2981.8944297980115,33.45999999999963,-157.04786299457777
5,34,90920,-76.6619644165039,2250,timeout,2850.5992895705417,45.000000000001435,-104.37775609210483
5,35,90920,-83.49749755859375,2250,timeout,3815.637899339455,45.000000000001435,-143.15937289795818
5,36,90920,-75.27619934082031,2250,timeout,3133.839099455096,45.000000000001435,-134.93393719287326
5,37,97612,-80.39240264892578,2250,timeout,4157.654124672253,45.000000000001435,-109.20666167641181
5,38,99920,-77.94807434082031,2250,timeout,2922.2729839191343,45.000000000001435,-145.02444379221777
5,39,99920,-74.81317138671875,2250,timeout,3995.960561290799,45.000000000001435,-136.83509297005494
5,40,99920,-74.33020782470703,2250,timeout,3952.592694449974,45.000000000001435,-141.4717594243013
