checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,7220,330.43743896484375,1805,miss,1608.1291240838868,36.100000000000044,-115.21063013125786
1,2,7312,374.1955261230469,1828,miss,1162.175799686024,36.560000000000116,-97.36898339658575
1,3,7596,368.1398010253906,1899,miss,295.20674761080494,37.98000000000034,-124.86056060193701
1,4,9000,435.5503234863281,2250,timeout,1619.4667065808578,45.000000000001435,-97.76281725486149
1,5,15968,436.4067687988281,2187,miss,1890.1037902727928,43.74000000000124,-114.94470923682994
1,6,16312,455.91156005859375,2250,timeout,1374.9595461200481,45.000000000001435,-93.41656377796392
1,7,16596,456.2325744628906,2250,timeout,1237.3528195054287,45.000000000001435,-128.15478612365166
1,8,17964,454.530517578125,2241,miss,841.4412988840273,44.82000000000141,-124.71420651729835
1,9,24968,465.0994873046875,2250,timeout,1782.6993247967475,45.000000000001435,-126.04059126191964
1,10,25312,449.1980895996094,2250,timeout,566.9380397558295,45.000000000001435,-143.11781496240994
1,11,25596,446.07305908203125,2250,timeout,425.0358766382178,45.000000000001435,-129.1158518373546
1,12,26444,412.38458251953125,2120,miss,215.04463812253383,42.40000000000103,-132.31788564775684
1,13,33968,439.1001892089844,2250,timeout,778.971836169544,45.000000000001435,-118.35298521629227
1,14,34312,459.4696044921875,2250,timeout,1393.7563316174378,45.000000000001435,-95.48014435549108
1,15,34596,454.1051940917969,2250,timeout,1028.1002769307547,45.000000000001435,-150.08408410394603
1,16,35444,439.7943115234375,2250,timeout,627.6876149325868,45.000000000001435,-145.57721543121446
1,17,42968,474.90496826171875,2250,timeout,804.0382358329357,45.000000000001435,-135.640233184371
1,18,43312,428.383056640625,2250,timeout,1743.0476925757057,45.000000000001435,-78.07435375480331
1,19,43596,455.2865905761719,2250,timeout,2099.167311914082,45.000000000001435,-131.4874855366481
1,20,44444,486.5224609375,2250,timeout,855.4522333736194,45.000000000001435,-138.38520279852315
1,21,51620,419.0433349609375,2077,miss,1966.972656082303,41.540000000000894,-72.96194546242732
1,22,51932,458.1977233886719,2241,miss,1770.3029120634021,44.82000000000141,-109.67176275075691
1,23,52456,429.6982421875,2215,miss,597.7379612321233,44.300000000001326,-111.47962994419615
1,24,53152,424.9747009277344,2177,miss,891.2740655965673,43.54000000000121,-103.22443434778677
1,25,60620,464.2895202636719,2250,timeout,1088.006044905252,45.000000000001435,-145.70997351596253
1,26,60932,462.3267517089844,2250,timeout,1568.1372676836131,45.000000000001435,-109.57286983311525
1,27,61012,403.1130065917969,2139,miss,259.76206788185635,42.78000000000109,-114.03156037415046
1,28,62152,439.3915100097656,2250,timeout,913.4072204529836,45.000000000001435,-97.1772529862371
1,29,69620,466.8005676269531,2250,timeout,1440.3890154585836,45.000000000001435,-139.6766442550222
1,30,69932,439.97796630859375,2250,timeout,697.7072446526946,45.000000000001435,-93.12319556309134
1,31,70012,450.26171875,2250,timeout,856.758083127221,45.000000000001435,-135.54855483150322
1,32,71152,398.05804443359375,2250,timeout,105.58347548125155,45.000000000001435,-79.57037210778192
1,33,78620,460.3591613769531,2250,timeout,125.851529150221,45.000000000001435,-137.933760189283
1,34,78932,429.66912841796875,2250,timeout,348.2066593580898,45.000000000001435,-117.8809718130038
1,35,79012,418.7843933105469,2250,timeout,428.0560405963295,45.000000000001435,-99.02971979909752
1,36,80152,455.7276306152344,2250,timeout,618.9498909757522,45.000000000001435,-110.2291254786235
1,37,87620,414.071533203125,2250,timeout,345.52062657523965,45.000000000001435,-86.56698124455738
1,38,87656,390.9354553222656,2181,miss,188.6856659243353,43.62000000000122,-98.41467752603843
1,39,88012,429.44635009765625,2250,timeout,417.2257151124831,45.000000000001435,-112.66224905982756
1,40,88076,312.4172668457031,1981,miss,106.28911257755654,39.620000000000594,-95.14858904160724
1,41,94508,277.9299011230469,1624,miss,598.5766369528891,32.47999999999948,-61.36367506955536
1,42,95396,317.8636779785156,1944,miss,358.62711907087646,38.88000000000048,-75.96559053543518
1,43,96656,345.90704345703125,2250,timeout,38.53245736925626,45.000000000001435,-75.81124785277639
1,44,97008,430.1959533691406,2233,miss,19.112072744996375,44.66000000000138,-124.267062035402
1,45,100096,258.44024658203125,1175,hit,4.591966809205803,23.499999999999588,148.73979355638573
1,46,102380,326.92901611328125,1968,miss,38.101706209004135,39.360000000000554,-94.91927129733
1,47,103760,222.04290771484375,1776,miss,27.746797125038075,35.51999999999995,-56.72528347630471
1,48,106008,352.541748046875,2250,timeout,6.812890871750249,45.000000000001435,-91.53389519513652
1,49,109096,388.32879638671875,2250,timeout,6.8391162478492715,45.000000000001435,-80.89693357825848
1,50,109952,294.1788024902344,1893,miss,16.820685955325327,37.86000000000032,-75.77282262638667
1,51,111164,231.93295288085938,1289,hit,4.698270013537725,25.77999999999954,157.04789175931944
1,52,112092,374.8466796875,2083,miss,15.747711796425747,41.66000000000091,-129.5358825003058
1,53,114712,291.4356994628906,1404,hit,4.4061304804407655,28.07999999999949,152.98902984329396
1,54,115864,215.87139892578125,1175,hit,3.2241191833884626,23.499999999999588,144.8107078289492
1,55,118952,304.8748474121094,2250,timeout,13.137934679141582,45.000000000001435,-70.088797184822
1,56,119408,206.52627563476562,1174,hit,4.9792204522402725,23.47999999999959,143.6985268355962
1,57,121092,302.6125793457031,2250,timeout,59.89205370589248,45.000000000001435,-76.57695485486718
1,58,123928,203.50572204589844,1130,hit,4.053853324907719,22.599999999999607,144.22010573457567
1,59,124864,322.4568176269531,2250,timeout,26.108381298321227,45.000000000001435,-81.88423578190698
1,60,127080,172.16549682617188,788,hit,2.500285305309992,15.759999999999753,153.57732185250487
1,61,127200,361.7524108886719,2062,miss,9.712087218681281,41.24000000000085,-115.56854203390705
1,62,128480,291.5520935058594,1847,miss,41.08505003482334,36.940000000000175,-92.33328306418807
1,63,129060,178.67340087890625,1049,hit,4.326837737611102,20.97999999999964,150.84687736636786
1,64,135856,252.2579345703125,1699,miss,5.837190963813094,33.97999999999971,-86.53004140600152
1,65,136080,324.4299621582031,2250,timeout,5.517181635106537,45.000000000001435,-81.7358598816687
1,66,136200,368.9764709472656,2250,timeout,6.87419098426276,45.000000000001435,-95.99350900541681
1,67,136952,310.5092468261719,2118,miss,19.015942929961497,42.36000000000102,-68.63190322954455
1,68,143384,291.91986083984375,1796,miss,8.575560476038513,35.920000000000016,-91.94297336820009
1,69,144288,358.7107238769531,2052,miss,8.703762382797146,41.040000000000816,-96.86624536409396
1,70,144332,339.9581298828125,2119,miss,7.031062532051533,42.380000000001026,-91.98892555480803
1,71,145952,380.75421142578125,2250,timeout,32.51393258244988,45.000000000001435,-95.22217814752919
1,72,148084,187.96282958984375,1175,hit,4.455380739610794,23.499999999999588,160.31488355436625
1,73,150964,244.90264892578125,1669,miss,13.165223797125435,33.37999999999962,-88.45503296309914
1,74,151132,257.8392028808594,1700,miss,26.5604977208271,33.999999999999716,-96.61734172281143
1,75,154952,326.4047546386719,2250,timeout,8.870367877455,45.000000000001435,-105.00012323985634
1,76,155644,201.33416748046875,1170,hit,4.50165855889428,23.39999999999959,151.23088727953902
1,77,157084,371.6789855957031,2250,timeout,11.574218595712257,45.000000000001435,-93.22656974027582
1,78,158096,290.072998046875,1741,miss,9.404649459031452,34.819999999999844,-119.85089062161609
1,79,160720,211.64816284179688,1269,hit,4.786230142151714,25.379999999999548,153.123441049948
1,80,160980,133.63363647460938,1507,miss,6.80524558679174,30.139999999999446,-67.50348931568331
1,81,166084,342.47515869140625,2250,timeout,5.138988281183799,45.000000000001435,-103.03378456091275
1,82,167096,342.2144775390625,2250,timeout,18.44982126254014,45.000000000001435,-80.13547007820601
1,83,167876,277.4711608886719,1789,miss,13.31733046849589,35.779999999999994,-97.15331625543725
1,84,169764,359.0253601074219,2196,miss,11.756616362801577,43.92000000000127,-89.368910591776
1,85,172388,142.30967712402344,1576,miss,5.21458943025457,31.519999999999417,-66.60437325206757
1,86,174380,266.4931335449219,1821,miss,16.651533422787725,36.420000000000094,-93.45346178648555
1,87,175592,163.71212768554688,801,hit,1.7750536186405947,16.019999999999747,151.9741928166295
1,88,176876,315.4715270996094,2250,timeout,18.549504428934608,45.000000000001435,-107.15757549858618
1,89,178764,284.1678771972656,2250,timeout,5.80567311578986,45.000000000001435,-88.36202181343207
1,90,183380,371.3077392578125,2250,timeout,7.368538713423937,45.000000000001435,-91.75225854346849
1,91,184592,347.6881408691406,2250,timeout,12.808656568083387,45.000000000001435,-86.17164158108265
1,92,185016,340.488525390625,2035,miss,13.83302289232681,40.70000000000076,-124.8118919661852
1,93,186428,297.23944091796875,1916,miss,6.7928052657243105,38.32000000000039,-97.24725366452459
1,94,189484,201.09918212890625,1117,hit,3.6100003182795364,22.339999999999613,155.03949839084572
1,95,191632,240.79579162597656,1760,miss,9.918846785932482,35.1999999999999,-67.95629486546247
1,96,192380,213.320068359375,2250,timeout,9.580448223062856,45.000000000001435,-79.6876670486599
1,97,195104,341.24920654296875,2169,miss,9.89282849456411,43.38000000000118,-86.2770604732685
1,98,195532,168.60824584960938,788,hit,3.582595290963717,15.759999999999753,154.20787391966215
1,99,198484,306.3189392089844,2250,timeout,6.001246569400448,45.000000000001435,-87.98475656879614
1,100,200316,206.20852661132812,1196,hit,3.200341809814492,23.91999999999958,147.0319928651758
1,101,200632,293.3307800292969,2250,timeout,41.26460536814548,45.000000000001435,-89.66865037456891
1,102,202836,265.4725341796875,1933,miss,7.136620614958855,38.660000000000444,-73.41720359840971
2,103,208692,179.66604614257812,973,hit,3.7607968505983496,19.459999999999674,163.41789419628103
2,104,211756,224.28250122070312,1739,miss,13.281105028935377,34.77999999999984,-73.58307349841988
2,105,211868,178.99871826171875,1767,miss,8.947463729440138,35.339999999999925,-77.40666497655258
2,106,212704,234.9261016845703,1976,miss,17.63848464623238,39.52000000000058,-81.82126245486644
2,107,216552,170.79083251953125,962,hit,4.320460101350636,19.23999999999968,150.29402784617145
2,108,217692,245.17454528808594,2250,timeout,20.788723661678617,45.000000000001435,-74.56950056071386
2,109,219068,287.6245422363281,1828,miss,15.851775854181525,36.560000000000116,-90.18384949624101
2,110,220868,290.2611083984375,2250,timeout,13.8536967653106,45.000000000001435,-86.78225530795038
2,111,224428,288.43017578125,1969,miss,33.03678672271902,39.38000000000056,-80.67355847956395
2,112,226692,271.8560791015625,2250,timeout,25.76585737348419,45.000000000001435,-72.70070927090035
2,113,228068,355.6063537597656,2250,timeout,9.79891977336559,45.000000000001435,-88.9830316091805
2,114,229868,363.8760070800781,2250,timeout,11.774697116597098,45.000000000001435,-103.93007238940444
2,115,232152,192.15931701660156,1021,hit,2.5438065900483213,20.419999999999654,156.93422404724865
2,116,232356,312.76153564453125,1982,miss,8.861211035246752,39.6400000000006,-89.88823704868705
2,117,235692,318.2220153808594,2250,timeout,6.734973835271756,45.000000000001435,-80.21938982180272
2,118,237056,189.65875244140625,1226,hit,4.881842552801931,24.519999999999566,155.22394219993964
2,119,238012,276.20977783203125,2036,miss,21.002547228712494,40.720000000000766,-94.79152937521883
2,120,238936,163.22415161132812,811,hit,4.287298050001142,16.219999999999743,162.41486008150113
2,121,241356,359.11212158203125,2250,timeout,8.889330152828531,45.000000000001435,-94.84308360208694
2,122,241632,157.97686767578125,674,hit,4.526460259442236,13.479999999999801,154.51248664226497
2,123,244684,283.2820129394531,1907,miss,11.967565091612732,38.14000000000036,-88.27717788476937
2,124,245348,248.2935791015625,1834,miss,6.1537247008621385,36.680000000000135,-76.75322960780241
2,125,250356,366.5904235839844,2250,timeout,17.617622132195077,45.000000000001435,-96.01879168038884
2,126,250448,347.7212829589844,2204,miss,5.27977328239191,44.08000000000129,-92.57934890408788
2,127,252040,257.552001953125,1839,miss,7.915967892720586,36.78000000000015,-77.07454218260003
2,128,254348,317.8448791503906,2250,timeout,8.550278773647062,45.000000000001435,-92.85239786197121
2,129,254440,166.8885498046875,1021,hit,3.520844541383259,20.419999999999654,160.4901180300929
2,130,258096,186.2288360595703,937,hit,3.91218801567514,18.73999999999969,161.36046150887506
2,131,259012,158.18099975585938,1743,miss,6.4012345114084885,34.85999999999985,-52.8229317255776
2,132,259448,244.40542602539062,2250,timeout,7.4180783825542775,45.000000000001435,-72.11271224345367
2,133,263440,367.9933776855469,2250,timeout,10.551742442044647,45.000000000001435,-93.73761565507915
2,134,264972,148.11497497558594,1719,miss,24.483646993854855,34.379999999999775,-61.157338713064625
2,135,266208,244.21426391601562,1799,miss,8.075388115904444,35.980000000000025,-72.99629600887681
2,136,266864,269.31884765625,1854,miss,10.536056127449594,37.0800000000002,-78.7078645467112
2,137,271956,335.2191467285156,2129,miss,5.123218098345586,42.58000000000106,-91.9861753583452
2,138,271964,192.3992156982422,1275,hit,3.309775816599261,25.499999999999545,157.82498923345372
2,139,272648,282.3067321777344,1919,miss,8.368065983664625,38.3800000000004,-82.6148363311024
2,140,273700,282.3849792480469,1873,miss,31.5029370207586,37.46000000000026,-94.37782978146026
2,141,277220,186.06332397460938,1143,hit,4.055440456386644,22.8599999999996,158.7982015102634
2,142,280956,352.6324157714844,2250,timeout,11.340827961505605,45.000000000001435,-96.47704061768485
2,143,280964,299.5605163574219,2250,timeout,11.639913443428366,45.000000000001435,-111.74088449743843
2,144,280984,187.62388610839844,1821,miss,7.96325729685441,36.420000000000094,-72.90649074055717
2,145,284608,264.5260925292969,1847,miss,23.124427769114696,36.940000000000175,-77.5272517100222
2,146,285276,180.63983154296875,1080,hit,4.484039664464357,21.59999999999963,150.59989783218478
2,147,288028,275.7745361328125,1766,miss,21.998446298998,35.31999999999992,-99.332190184474
2,148,289984,394.8990783691406,2250,timeout,22.08890348195031,45.000000000001435,-112.76547048365525
2,149,292988,151.81631469726562,751,hit,2.1991222121218326,15.019999999999769,156.77580316420588
2,150,293608,363.9468994140625,2250,timeout,19.535187438483604,45.000000000001435,-115.42140736912891
2,151,294276,349.47137451171875,2250,timeout,5.512746847866243,45.000000000001435,-97.83826862256828
2,152,295724,279.7415466308594,1924,miss,21.371863682496624,38.480000000000416,-92.66993824435515
2,153,297300,163.31216430664062,756,hit,2.4715451295993156,15.119999999999767,155.6939474667829
2,154,301988,266.89862060546875,2250,timeout,6.0933073417383925,45.000000000001435,-80.89865173186854
2,155,302608,333.3031921386719,2250,timeout,8.443645457417166,45.000000000001435,-81.56605471185287
2,156,302876,230.8565673828125,1788,miss,7.27432615029356,35.75999999999999,-96.89327607373795
2,157,305128,257.5500183105469,1957,miss,13.671882259853016,39.14000000000052,-117.51639621762214
2,158,305320,168.6138458251953,833,hit,3.4093811723874152,16.659999999999734,157.24756880754268
2,159,305824,162.09524536132812,804,hit,4.890969771554768,16.079999999999746,162.05001572689656
2,160,309356,160.6748046875,1009,hit,4.163387918573922,20.17999999999966,147.93977926875004
2,161,311876,366.6497497558594,2250,timeout,13.987548319548809,45.000000000001435,-112.5114331989786
2,162,313940,327.0133361816406,2029,miss,14.689404881008857,40.580000000000744,-107.58559342228594
2,163,314128,326.03985595703125,2250,timeout,14.820187961536362,45.000000000001435,-118.80442890918472
2,164,315656,126.8430404663086,1575,miss,10.772931610986157,31.499999999999417,-51.80661758285743
2,165,320876,225.5076904296875,2250,timeout,11.72722177818665,45.000000000001435,-80.68729839976957
2,166,322940,271.6943359375,2250,timeout,16.795091165255798,45.000000000001435,-70.25549487846047
2,167,323128,311.3939514160156,2250,timeout,8.711641755323898,45.000000000001435,-89.83679936436762
2,168,324648,375.9124755859375,2248,miss,9.136143920428907,44.96000000000143,-116.28647740111373
2,169,329876,294.99365234375,2250,timeout,12.669443762332536,45.000000000001435,-88.76076961836988
2,170,331676,349.18634033203125,2184,miss,9.63315370341762,43.68000000000123,-106.9391374173167
2,171,332128,364.416748046875,2250,timeout,15.703599444252552,45.000000000001435,-104.734387686429
2,172,332948,142.9720458984375,768,hit,2.1724824309444837,15.359999999999761,159.0877759080089
2,173,333648,295.9652099609375,2250,timeout,38.16339494391251,45.000000000001435,-107.58988860174233
2,174,335744,159.0970916748047,904,hit,3.682152195625798,18.079999999999703,162.60075519674552
2,175,338808,248.07742309570312,1783,miss,22.100757395464512,35.659999999999975,-86.38129542226538
2,176,339836,134.2518768310547,1722,miss,5.973061671154013,34.439999999999785,-71.68969424161668
2,177,342648,260.3598327636719,2250,timeout,7.65629745944785,45.000000000001435,-89.77571313510572
2,178,344744,236.14988708496094,2250,timeout,19.656342433397914,45.000000000001435,-75.00464168912465
2,179,347808,356.42169189453125,2250,timeout,14.707390322227578,45.000000000001435,-103.60574797877791
2,180,348836,299.19976806640625,2250,timeout,5.759500827406868,45.000000000001435,-123.00394899858358
2,181,350360,249.11590576171875,1928,miss,27.998056832918188,38.56000000000043,-87.41559628744379
2,182,353744,351.6279602050781,2250,timeout,22.31033924687238,45.000000000001435,-105.63738611083683
2,183,354548,234.28836059570312,1685,miss,9.40080696608316,33.69999999999967,-94.66710660337246
2,184,357816,363.505126953125,2245,miss,13.437059524310811,44.90000000000142,-115.56104192726568
2,185,359360,337.91717529296875,2250,timeout,11.226441673941542,45.000000000001435,-126.06906280336928
2,186,362744,362.86700439453125,2250,timeout,7.774548106542607,45.000000000001435,-101.34936593060719
2,187,363548,359.1344299316406,2250,timeout,18.48467603770384,45.000000000001435,-103.27354609005205
2,188,366816,342.4022216796875,2250,timeout,10.894028264427737,45.000000000001435,-97.99859065116144
2,189,368360,334.74822998046875,2250,timeout,17.038698438194682,45.000000000001435,-85.92334748651112
2,190,371744,371.398681640625,2250,timeout,20.83066167719321,45.000000000001435,-100.84266333126264
2,191,372344,335.1049499511719,2199,miss,16.62918370786632,43.980000000001276,-99.68870489110118
2,192,375816,241.34719848632812,2250,timeout,5.896193155021535,45.000000000001435,-79.660829424503
2,193,375976,249.00799560546875,1904,miss,8.962182508825276,38.080000000000354,-81.773106089791
