checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,7220,-24.608139038085938,1805,miss,1650.1250561968761,36.100000000000044,-116.40742946393297
1,2,7312,-13.902817726135254,1828,miss,1109.2222682729087,36.560000000000116,-95.06422792173805
1,3,7596,8.125097274780273,1899,miss,341.93277941644425,37.98000000000034,-125.22137325246634
1,4,9000,-18.69918441772461,2250,timeout,1426.5900097998024,45.000000000001435,-83.96163442234347
1,5,15968,-47.699398040771484,2187,miss,2819.3987080178376,43.74000000000124,-97.55546714089496
1,6,16312,-34.840328216552734,2250,timeout,2075.6046721427765,45.000000000001435,-85.95377475751859
1,7,16596,-42.10733413696289,2250,timeout,1690.6302795747995,45.000000000001435,-132.95049246207415
1,8,16988,-3.901463508605957,1997,miss,1011.4086535100508,39.940000000000644,-97.13603914367965
1,9,24968,-14.926913261413574,2250,timeout,1211.1707405311604,45.000000000001435,-120.0144311328803
1,10,25312,-0.5058765411376953,2250,timeout,688.9802525418005,45.000000000001435,-121.53681428539825
1,11,25596,9.577001571655273,2250,timeout,439.190435174011,45.000000000001435,-103.46994289194619
1,12,25988,14.856199264526367,2250,timeout,227.7747070001115,45.000000000001435,-106.79439749149087
1,13,32412,7.517524719238281,1704,miss,467.1177185561643,34.07999999999973,-88.11359633194137
1,14,33968,14.128055572509766,2250,timeout,136.68041311949415,45.000000000001435,-130.7322685322475
1,15,34312,16.944944381713867,2250,timeout,63.86706499663568,45.000000000001435,-80.14251471695442
1,16,34588,20.30303382873535,2150,miss,80.58796563777253,43.00000000000112,-99.06092495712784
1,17,41412,-0.71759033203125,2250,timeout,763.0284404238208,45.000000000001435,-110.49746598071617
1,18,42096,-6.004051208496094,1877,miss,805.678660009822,37.54000000000027,-100.34343854670978
1,19,42968,6.6673736572265625,2250,timeout,319.71402874906653,45.000000000001435,-124.0909209106086
1,20,43312,13.414480209350586,2250,timeout,343.58326014385545,45.000000000001435,-66.62277146992251
1,21,48976,-9.741683006286621,1891,miss,1146.9572732648091,37.82000000000031,-94.858069673754
1,22,49984,-21.85358238220215,1972,miss,1661.9368367750376,39.440000000000566,-104.59247892270515
1,23,51436,9.60605525970459,2031,miss,581.5175676894398,40.62000000000075,-62.42532856625135
1,24,51968,3.4204928874969482,2250,timeout,704.9101431626186,45.000000000001435,-63.809469407482766
1,25,56732,13.638521194458008,1939,miss,158.28093813436104,38.78000000000046,-105.06141718781006
1,26,58984,-15.932830810546875,2250,timeout,705.880918608695,45.000000000001435,-115.14217027001904
1,27,59708,7.555276870727539,2068,miss,273.66065029872914,41.360000000000866,-114.6802162486828
1,28,60968,12.83447265625,2250,timeout,128.25962055753544,45.000000000001435,-125.0800970388561
1,29,65300,15.268356323242188,2142,miss,294.05221903710486,42.8400000000011,-81.15085140413902
1,30,67520,19.188217163085938,1953,miss,125.04528363539619,39.06000000000051,-63.36072458168902
1,31,67984,10.200590133666992,2250,timeout,290.45012187052555,45.000000000001435,-81.36311714284703
1,32,68072,-13.981396675109863,1776,miss,868.3408307612501,35.51999999999995,-75.83248016850094
1,33,74300,8.192867279052734,2250,timeout,82.69018451771635,45.000000000001435,-134.93499952926345
1,34,75440,25.182830810546875,1980,miss,11.842874969315492,39.60000000000059,-74.66456421453296
1,35,75952,19.592763900756836,1970,miss,13.16990587980758,39.40000000000056,-106.37818580066532
1,36,76140,21.664228439331055,2039,miss,21.751579431589754,40.780000000000776,-76.73755032462864
1,37,78516,124.05117797851562,1054,hit,4.694803204159978,21.07999999999964,144.46795192935573
1,38,84440,4.588939666748047,2250,timeout,181.6197186815741,45.000000000001435,-97.35897370708194
1,39,84780,22.378170013427734,2160,miss,6.658091265902961,43.200000000001154,-95.37568555080215
1,40,84952,13.129117965698242,2250,timeout,7.090637763068469,45.000000000001435,-81.99596720688004
1,41,85780,18.29384994506836,1816,miss,14.74924469423445,36.32000000000008,-92.63556776378226
1,42,88240,131.5301055908203,822,hit,3.1224724158495643,16.43999999999974,155.3542767883473
1,43,88816,130.56080627441406,1009,hit,4.270618611137968,20.17999999999966,155.31581099165908
1,44,93032,23.452728271484375,2148,miss,35.425544501858404,42.960000000001116,-87.62127387413474
1,45,94780,14.777435302734375,2250,timeout,24.675845731251805,45.000000000001435,-115.20420143123876
1,46,96024,19.800540924072266,1802,miss,16.796201201473,36.040000000000035,-92.61064080040754
1,47,96708,17.096755981445312,2117,miss,17.12971060855411,42.34000000000102,-107.99189426134252
1,48,100204,26.195415496826172,1793,miss,6.751521096009466,35.86000000000001,-50.64489605864498
1,49,101696,19.076719284057617,1729,miss,11.506615574296925,34.57999999999981,-88.7702762790737
1,50,104268,11.230831146240234,2061,miss,5.637933645585857,41.220000000000844,-100.49847559831484
1,51,104328,19.278629302978516,1905,miss,24.49855602947004,38.10000000000036,-86.63782286656476
1,52,107132,18.701892852783203,1732,miss,6.44705228022126,34.639999999999816,-94.13454544705937
1,53,109108,3.793933868408203,1853,miss,96.49979856001963,37.060000000000194,-86.59477061694713
1,54,113268,9.973918914794922,2250,timeout,6.959772504909746,45.000000000001435,-83.63127709671922
1,55,113328,8.709617614746094,2250,timeout,22.304462537910734,45.000000000001435,-103.99120370968521
1,56,116132,-10.004711151123047,2250,timeout,159.59003686378085,45.000000000001435,-75.39560395936337
1,57,116176,128.2710418701172,712,hit,4.5618932536102825,14.239999999999785,152.59343105218707
1,58,118048,15.634269714355469,2235,miss,7.0594793566817495,44.70000000000139,-76.6605238397904
1,59,120980,126.57205963134766,733,hit,4.8569615964410575,14.659999999999776,151.18258597052417
1,60,121584,17.45961570739746,2079,miss,29.913614847832765,41.5800000000009,-102.88687002035427
1,61,123684,17.204774856567383,1888,miss,9.300595506303823,37.7600000000003,-82.36886853750045
1,62,123764,17.200593948364258,1897,miss,12.10712169887993,37.94000000000033,-80.39198648538903
1,63,128648,21.686351776123047,1917,miss,5.58271150195301,38.340000000000394,-87.13990966243651
1,64,129356,11.617912292480469,1943,miss,47.50149953748653,38.860000000000475,-93.82753169494363
1,65,131912,13.210556030273438,2037,miss,16.733965926887578,40.74000000000077,-111.07911355522936
1,66,132684,18.60850715637207,2250,timeout,5.046490494334122,45.000000000001435,-65.75031463475466
1,67,136020,12.253471374511719,1843,miss,48.681872251468,36.86000000000016,-87.4961537616518
1,68,136304,126.18226623535156,905,hit,3.8148784639423683,18.099999999999703,158.38955510368754
1,69,138356,5.165416717529297,2250,timeout,21.69056847742092,45.000000000001435,-96.116706661687
1,70,139980,10.223220825195312,2017,miss,16.58849303778545,40.34000000000071,-80.87368670895597
1,71,144836,124.30723571777344,1214,hit,4.210919057902237,24.27999999999957,150.6637728792253
1,72,145020,0.6850013732910156,2250,timeout,12.37777888048693,45.000000000001435,-85.03697516337536
1,73,145304,10.259881973266602,2250,timeout,28.630057014885082,45.000000000001435,-81.07813247521374
1,74,147356,13.553950309753418,2250,timeout,10.337071834633516,45.000000000001435,-60.218103861398156
1,75,153320,126.27133178710938,1491,hit,4.364986492477712,29.819999999999453,150.8856205437207
1,76,153836,2.9744834899902344,2250,timeout,7.2775419071031955,45.000000000001435,-80.69974242212507
1,77,154020,16.731603622436523,2250,timeout,9.199755171227428,45.000000000001435,-80.56881758414433
1,78,154304,3.0839309692382812,2250,timeout,22.680103155925654,45.000000000001435,-103.56750266374782
1,79,157316,130.18357849121094,999,hit,4.336546691452152,19.979999999999663,161.71553108377265
1,80,161116,22.618518829345703,1820,miss,8.227439127735709,36.40000000000009,-58.07557312565822
1,81,161172,15.87571907043457,1717,miss,7.658758430397789,34.33999999999977,-92.94703211216208
1,82,161740,105.94530487060547,1930,hit,3.08067191956122,38.600000000000435,147.23487744691766
1,83,164336,21.743091583251953,1755,miss,12.487584206265215,35.09999999999989,-80.6221624439225
1,84,168108,22.10295295715332,1748,miss,5.673345067186553,34.959999999999866,-82.67893899769314
1,85,168252,20.4096622467041,1770,miss,9.091244321518543,35.399999999999935,-70.33500872761337
1,86,170496,5.877595901489258,1540,miss,12.023533169710348,30.799999999999432,-70.20399679980409
1,87,170740,-1.264495849609375,2250,timeout,12.010266317735184,45.000000000001435,-73.26425988610691
1,88,174036,115.21663665771484,1482,hit,4.912018203477126,29.639999999999457,143.19007489039683
1,89,176568,5.986301422119141,2079,miss,38.74076838383214,41.5800000000009,-91.49020412497474
1,90,179496,17.860401153564453,2250,timeout,9.297200290640768,45.000000000001435,-66.07666590229206
1,91,179620,10.314300537109375,2220,miss,10.301582110366006,44.40000000000134,-79.89248060240949
1,92,180016,127.80807495117188,862,hit,3.5018660131343387,17.23999999999972,162.08561424849296
1,93,183036,13.918985366821289,2250,timeout,17.821463550718036,45.000000000001435,-62.359135949399466
1,94,183196,132.52066040039062,894,hit,4.036300582455194,17.879999999999708,165.46737211083155
1,95,186948,16.16514778137207,1863,miss,12.932261080898668,37.260000000000225,-88.51705289235984
1,96,189016,13.413887023925781,2250,timeout,10.700017552074183,45.000000000001435,-84.98525723025827
1,97,189804,8.001640319824219,1692,miss,18.275995366435605,33.83999999999969,-93.04869071770469
1,98,192196,-1.1337928771972656,2250,timeout,6.248386786404519,45.000000000001435,-85.51010740129709
1,99,195948,1.9263038635253906,2250,timeout,7.778378473367657,45.000000000001435,-83.19507580789582
1,100,198016,-14.959613800048828,2250,timeout,7.479230953549311,45.000000000001435,-74.74873997883513
1,101,198804,-0.7156524658203125,2250,timeout,11.234971851983959,45.000000000001435,-75.72104604373087
1,102,199548,128.60614013671875,900,hit,4.299408732449091,17.999999999999705,157.7206249313732
1,103,199612,8.681732177734375,1854,miss,9.014622555984854,37.0800000000002,-65.12424620580813
2,104,211472,6.236337661743164,1668,miss,7.958506205570877,33.359999999999616,-65.89830603117181
2,105,212144,16.01462745666504,1836,miss,7.313455868796037,36.72000000000014,-71.57877293486317
2,106,212572,16.053056716918945,1943,miss,9.487326023767752,38.860000000000475,-67.81364030533081
2,107,213800,1.9757347106933594,2250,timeout,15.193819845730813,45.000000000001435,-90.20886464353433
2,108,215176,128.9168243408203,758,hit,4.317595553708527,15.159999999999766,154.26450435686328
2,109,218204,115.69547271728516,1101,hit,4.400830351301556,22.01999999999962,145.48985633067207
2,110,219896,110.118896484375,2106,hit,4.5425120186633405,42.120000000000985,136.74031843021504
2,111,221572,4.621936798095703,2250,timeout,10.727022831747497,45.000000000001435,-89.91248886006399
2,112,224176,21.182180404663086,2250,timeout,5.308032256452419,45.000000000001435,-60.709360083683485
2,113,227204,4.5736236572265625,2250,timeout,7.657975844839322,45.000000000001435,-80.54522275450293
2,114,228896,2.748504638671875,2250,timeout,12.100480544200606,45.000000000001435,-91.5177377954898
2,115,229064,109.97733306884766,1222,hit,4.053941911573174,24.439999999999568,149.00689963383962
2,116,230572,-1.6083869934082031,2250,timeout,12.099434052625513,45.000000000001435,-87.90724045164143
2,117,234236,-5.423469543457031,1758,miss,12.649323271359027,35.1599999999999,-90.1545277860964
2,118,237112,10.601665496826172,2054,miss,25.119425900635036,41.08000000000082,-86.23454931242557
2,119,238064,6.761110305786133,2250,timeout,15.41753654589763,45.000000000001435,-69.31229723034633
2,120,238260,19.8665714263916,1922,miss,9.960262123474122,38.44000000000041,-69.3621643180217
2,121,242236,117.62409973144531,994,hit,4.65643078939251,19.879999999999665,145.57073286301798
2,122,243236,-13.275344848632812,2250,timeout,7.767164350684781,45.000000000001435,-69.8532272689336
2,123,245812,12.672372817993164,2175,miss,5.587825361816926,43.5000000000012,-83.03258576136449
2,124,247064,8.100032806396484,2250,timeout,5.486835697928395,45.000000000001435,-84.92824678404068
2,125,251236,-18.7744140625,2250,timeout,22.161209074154893,45.000000000001435,-81.40802553464363
2,126,252236,-0.8401832580566406,2250,timeout,9.985609199472233,45.000000000001435,-78.17834443967193
2,127,253252,18.533998489379883,1860,miss,5.493033457927264,37.200000000000216,-77.60539549055183
2,128,256064,2.6646900177001953,2250,timeout,5.5748877210465935,45.000000000001435,-60.97108360906301
2,129,257812,6.341178894042969,1644,miss,29.022380015419284,32.87999999999954,-92.30009654502258
2,130,260652,15.780252456665039,1850,miss,12.702050232681074,37.000000000000185,-88.37669961564096
2,131,261236,8.614791870117188,2250,timeout,15.224619335156426,45.000000000001435,-74.98878191020763
2,132,262880,6.505138397216797,1704,miss,27.48822732979349,34.07999999999973,-97.59236879439344
2,133,264576,12.561969757080078,1691,miss,27.79210208712592,33.81999999999969,-83.67768060256992
2,134,267436,122.49198913574219,1139,hit,4.2528114102885,22.779999999999603,156.0532577755111
2,135,267892,13.092439651489258,1664,miss,22.981872332764034,33.2799999999996,-88.49481077337073
2,136,268336,14.371988296508789,1921,miss,10.79020044621987,38.42000000000041,-79.9054304148519
2,137,273576,1.0167350769042969,2250,timeout,9.075587725259405,45.000000000001435,-86.02432727761607
2,138,274896,7.682746887207031,1865,miss,16.487491942825148,37.30000000000023,-100.64497742602067
2,139,276540,9.054794311523438,2162,miss,9.576312274461223,43.24000000000116,-88.9901595050318
2,140,277336,3.711811065673828,2250,timeout,7.224223737621044,45.000000000001435,-72.7239826982126
2,141,279828,14.261167526245117,1563,miss,11.222125178956105,31.259999999999422,-62.36156809522043
2,142,283896,8.942022323608398,2250,timeout,7.0943789002883655,45.000000000001435,-67.07291169091366
2,143,284224,15.96660041809082,1921,miss,5.371315154331794,38.42000000000041,-93.88835773435919
2,144,284400,13.96705436706543,1766,miss,10.248060832833442,35.31999999999992,-70.71042621447262
2,145,287040,-0.8211860656738281,1803,miss,15.56274466471821,36.06000000000004,-83.04394353682308
2,146,290208,127.21314239501953,792,hit,3.7956187304955855,15.839999999999751,153.12180215594984
2,147,291620,-5.068595886230469,1805,miss,11.279373884944912,36.100000000000044,-77.53152911883225
2,148,291716,12.031120300292969,1955,miss,13.504974759442625,39.10000000000051,-103.91809966048663
2,149,293224,0.6611747741699219,2250,timeout,11.204263149676184,45.000000000001435,-80.97672728145777
2,150,295724,128.39984130859375,1026,hit,4.9351466064021,20.51999999999965,162.36581869379523
2,151,299208,6.0732574462890625,2250,timeout,22.004269732998548,45.000000000001435,-77.39407937811728
2,152,300560,125.18470001220703,1209,hit,4.562403241743123,24.179999999999573,150.89011517313793
