checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,8900,-23.28265380859375,2225,miss,1766.0156770119381,44.50000000000136,-115.9228168623786
1,2,9000,-5.741236686706543,2250,timeout,1027.3181482414398,45.000000000001435,-121.05633299362654
1,3,9000,6.1006011962890625,2250,timeout,606.5725237404267,45.000000000001435,-122.11353134236126
1,4,9000,26.537357330322266,2250,timeout,209.7186048124957,45.000000000001435,-89.95244612181826
1,5,15948,-42.313804626464844,1762,miss,2686.843586347083,35.23999999999991,-108.80695427450962
1,6,17236,-34.10143280029297,2059,miss,2331.9357496517964,41.18000000000084,-106.82844650062653
1,7,17400,-53.6037483215332,2100,miss,3765.7412356542445,42.000000000000966,-141.3526617166046
1,8,18000,-43.861534118652344,2250,timeout,2631.851130532558,45.000000000001435,-127.19539649805125
1,9,24128,8.589866638183594,2045,miss,693.523972566827,40.900000000000794,-122.41504106780287
1,10,25832,-6.846536636352539,2108,miss,868.6807016335579,42.16000000000099,-125.3319953400258
1,11,26100,-13.447525978088379,2216,miss,1389.8312541252828,44.32000000000133,-108.87046420055076
1,12,27000,7.14846134185791,2250,timeout,741.4763269935918,45.000000000001435,-76.9172872771602
1,13,32820,3.6754722595214844,2173,miss,626.8890520742654,43.460000000001195,-116.63437341176223
1,14,33564,0.8697700500488281,1933,miss,785.2390647843429,38.660000000000444,-96.89204101973779
1,15,33700,2.4080867767333984,1900,miss,638.9823038924053,38.00000000000034,-105.34617812184548
1,16,34512,-8.925518035888672,1878,miss,1333.7603381115257,37.56000000000027,-82.59233784819081
1,17,41740,-6.218112945556641,2230,miss,820.1243449009927,44.60000000000137,-128.71269128738078
1,18,41956,24.357332229614258,2098,miss,208.77512080033543,41.96000000000096,-73.76804365452664
1,19,42700,14.020792007446289,2250,timeout,449.29912474327136,45.000000000001435,-108.12706744256681
1,20,43512,6.481679916381836,2250,timeout,669.6345402625961,45.000000000001435,-87.82948509082
1,21,50296,-8.602188110351562,2085,miss,1241.6422304058842,41.70000000000092,-93.07056054844497
1,22,50740,-16.558462142944336,2250,timeout,1260.2747529148244,45.000000000001435,-98.81610491144136
1,23,51700,-16.657928466796875,2250,timeout,1521.543820827856,45.000000000001435,-83.54592411957854
1,24,51712,16.347267150878906,2050,miss,316.1801485947792,41.00000000000081,-75.30195706926301
1,25,53312,131.32110595703125,754,hit,4.733884677935139,15.079999999999767,159.55519617047213
1,26,58932,28.88662338256836,1805,miss,6.142588623248108,36.100000000000044,-59.675163018205225
1,27,59740,24.391427993774414,2250,timeout,42.39746706979317,45.000000000001435,-81.7508570868768
