checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,5000,-23.141643524169922,1250,timeout,572.1066516167315,24.999999999999556,-73.91456524336553
1,2,5000,-58.909358978271484,1250,timeout,2047.5728727019477,24.999999999999556,-154.1631183777493
1,3,5000,-19.362548828125,1250,timeout,480.2124339489321,24.999999999999556,-116.20835534291038
1,4,5000,-57.702430725097656,1250,timeout,1849.7227325253339,24.999999999999556,-113.98172642007373
1,5,10000,-46.776153564453125,1250,timeout,788.0981360756736,24.999999999999556,-128.35589912010363
1,6,10000,-20.900434494018555,1250,timeout,423.57106482942186,24.999999999999556,-137.27542309896845
1,7,10000,-72.16874694824219,1250,timeout,1535.0947963739009,24.999999999999556,-122.75098606068175
1,8,10000,-78.99942779541016,1250,timeout,3239.7804167849035,24.999999999999556,-106.9731101901996
1,9,15000,-53.09217834472656,1250,timeout,1383.027485747837,24.999999999999556,-90.56925507963341
1,10,15000,-61.757347106933594,1250,timeout,2292.513277955408,24.999999999999556,-124.84993873888243
1,11,15000,-56.84645080566406,1250,timeout,1553.9991268154943,24.999999999999556,-161.6907497645464
1,12,15000,-59.53550338745117,1250,timeout,2556.2134573891417,24.999999999999556,-147.73515220128948
1,13,18916,-72.63607788085938,979,miss,1863.0400718741923,19.57999999999967,-81.43126862701811
1,14,20000,-34.13706588745117,1250,timeout,811.2296007838393,24.999999999999556,-119.36741896983503
1,15,20000,-49.53070068359375,1250,timeout,1211.2837242246178,24.999999999999556,-93.92498933493721
1,16,20000,-25.90288543701172,1250,timeout,482.7636535590041,24.999999999999556,-115.73837301794396
2,17,25480,-37.713077545166016,1250,timeout,890.8495042645837,24.999999999999556,-74.35064650960777
2,18,25480,-55.35893249511719,1250,timeout,1222.4417876498912,24.999999999999556,-114.1948973352319
2,19,25480,-27.938262939453125,1250,timeout,703.7192055120311,24.999999999999556,-102.2020450042506
2,20,25480,-76.46430969238281,1250,timeout,1372.6079918184078,24.999999999999556,-91.01216270035988
2,21,30480,-58.56378936767578,1250,timeout,1845.7470046134451,24.999999999999556,-142.3741260029181
2,22,30480,-61.660606384277344,1250,timeout,2146.6462994028725,24.999999999999556,-138.52369986558685
2,23,30480,-49.75434875488281,1250,timeout,1207.9819583704516,24.999999999999556,-70.03316242593257
2,24,30480,-43.62125015258789,1250,timeout,914.8777248310344,24.999999999999556,-69.02376520408235
2,25,35316,-50.933204650878906,1209,miss,1352.8070841668052,24.179999999999573,-68.67571560161998
2,26,35480,-3.8709030151367188,1250,timeout,404.5223629969726,24.999999999999556,-109.79916889965178
2,27,35480,-30.42949867248535,1250,timeout,731.69818803845,24.999999999999556,-70.58831274279272
2,28,35480,-42.02294921875,1250,timeout,815.4705561275389,24.999999999999556,-102.60598752904875
2,29,40316,-63.97793197631836,1250,timeout,1822.6819691352246,24.999999999999556,-72.13071260103985
2,30,40480,-30.366626739501953,1250,timeout,585.9384284791302,24.999999999999556,-105.97269605572934
2,31,40480,8.463293075561523,1250,timeout,137.02867686124512,24.999999999999556,-127.64857387958538
2,32,40480,-61.541770935058594,1250,timeout,2083.150523555872,24.999999999999556,-114.65003469868579
3,33,45960,-21.76241683959961,1250,timeout,604.8406541070423,24.999999999999556,-94.52803248370022
3,34,45960,-31.73450469970703,1250,timeout,728.2821712866734,24.999999999999556,-95.72682017959742
3,35,45960,-24.00580406188965,1250,timeout,637.7376069001106,24.999999999999556,-81.89594515579356
3,36,45960,-15.944631576538086,1250,timeout,476.7841625520368,24.999999999999556,-89.98264387312213
3,37,50960,-46.974342346191406,1250,timeout,1223.2341472991925,24.999999999999556,-60.10334642179222
3,38,50960,-66.72566223144531,1250,timeout,2346.1717681471046,24.999999999999556,-73.4142035984287
3,39,50960,-37.9872932434082,1250,timeout,828.3092157582196,24.999999999999556,-143.4611436091758
3,40,50960,-27.559185028076172,1250,timeout,657.2731933546289,24.999999999999556,-81.22333152233855
3,41,55960,-63.196937561035156,1250,timeout,1697.1014069960102,24.999999999999556,-85.94070588769804
3,42,55960,-43.01922607421875,1250,timeout,980.5717998441529,24.999999999999556,-70.69230907853284
3,43,55960,-31.266923904418945,1250,timeout,727.5564779169315,24.999999999999556,-63.45385555130402
3,44,55960,12.474550247192383,1250,timeout,173.86629443683984,24.999999999999556,-64.79414073621987
3,45,60960,11.847236633300781,1250,timeout,56.21320233981561,24.999999999999556,-80.91945957401329
3,46,60960,-49.24836730957031,1250,timeout,1126.6287062082936,24.999999999999556,-124.13566983613592
3,47,60960,16.918601989746094,1250,timeout,100.32957976405076,24.999999999999556,-68.02122946700246
3,48,60960,-5.221956253051758,1250,timeout,200.3531948829535,24.999999999999556,-131.9230090996599
4,49,65752,14.776815414428711,1078,miss,165.22671755014844,21.55999999999963,-74.10735236479441
4,50,66000,-46.85214614868164,1140,miss,1011.4359636712236,22.799999999999603,-109.96640198698252
4,51,66440,16.943706512451172,1250,timeout,88.07014062408373,24.999999999999556,-65.8167801537964
4,52,66440,23.719741821289062,1250,timeout,5.848737508491037,24.999999999999556,-85.44840107002935
4,53,70752,15.405765533447266,1250,timeout,30.109791428181758,24.999999999999556,-90.04248215650662
4,54,71000,5.954882621765137,1250,timeout,196.31787905454823,24.999999999999556,-88.54976382184383
4,55,71440,-24.481090545654297,1250,timeout,509.12761126746653,24.999999999999556,-100.161601707649
4,56,71440,28.270294189453125,1250,timeout,50.53821475983649,24.999999999999556,-81.26961359721317
4,57,75752,-10.181123733520508,1250,timeout,139.12894549509508,24.999999999999556,-68.56139215807805
4,58,76000,-14.676323890686035,1250,timeout,509.1648683370736,24.999999999999556,-116.46840590075871
4,59,76440,8.58584213256836,1250,timeout,18.762954698890567,24.999999999999556,-73.13736667305636
4,60,76440,-43.91667556762695,1250,timeout,902.0238352239849,24.999999999999556,-117.03748399291656
4,61,80752,8.77761459350586,1250,timeout,81.8631137731898,24.999999999999556,-98.48188935218053
4,62,81000,20.183570861816406,1250,timeout,33.197257550402945,24.999999999999556,-101.2041387662304
4,63,81440,24.558555603027344,1250,timeout,45.403066194423744,24.999999999999556,-57.956114802970596
4,64,81440,15.953573226928711,1250,timeout,63.607269779827284,24.999999999999556,-83.21732459969198
5,65,86920,17.73503875732422,1250,timeout,53.84199927182133,24.999999999999556,-107.14639081127157
5,66,86920,5.273500442504883,1250,timeout,44.76295189878135,24.999999999999556,-100.77138662066842
5,67,86920,14.865287780761719,1250,timeout,5.491077721155811,24.999999999999556,-66.17972388090396
5,68,86920,25.776718139648438,1250,timeout,10.267926127385092,24.999999999999556,-76.17942655187275
5,69,91352,13.048248291015625,1108,miss,15.147812102432527,22.159999999999616,-118.91047761993376
5,70,91880,27.13987159729004,1240,miss,6.765800265315217,24.79999999999956,-99.84319539467039
5,71,91920,14.401786804199219,1250,timeout,6.0784443618966355,24.999999999999556,-90.60358046752475
5,72,91920,22.646648406982422,1250,timeout,58.63582555492611,24.999999999999556,-58.24839025972795
5,73,96352,22.13873291015625,1250,timeout,5.0947151024514605,24.999999999999556,-95.91218015826563
5,74,96880,-52.1009407043457,1250,timeout,935.5189882292477,24.999999999999556,-71.70453468109292
5,75,96920,7.2570013999938965,1250,timeout,144.30871760860506,24.999999999999556,-92.47780407507521
5,76,96920,17.430999755859375,1250,timeout,26.031455573488543,24.999999999999556,-98.30862136051232
5,77,101352,17.200660705566406,1250,timeout,6.661723403994463,24.999999999999556,-87.32948861279625
5,78,101880,15.482620239257812,1250,timeout,8.08307015756334,24.999999999999556,-104.40702978286285
5,79,101920,14.619232177734375,1250,timeout,28.963951742331396,24.999999999999556,-102.86352373945974
5,80,101920,6.878641128540039,1250,timeout,56.89370877196041,24.999999999999556,-115.6216305495976
