checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
1,1,4936,-60.917510986328125,1234,miss,1526.6371554185248,24.679999999999563,-125.24449288489978
1,2,5000,-50.96800231933594,1250,timeout,942.8238068340617,24.999999999999556,-146.63271958069774
1,3,5000,-65.97003173828125,1250,timeout,2598.541603481301,24.999999999999556,-108.95623819689186
1,4,5000,-56.63961410522461,1250,timeout,1658.7700173740732,24.999999999999556,-175.47314733922533
1,5,9136,-61.975032806396484,1034,miss,2790.4515139674922,20.679999999999648,-91.49949012104058
1,6,9336,-72.03898620605469,1100,miss,1125.128625802197,21.99999999999962,-84.37670403214305
1,7,9336,-59.083251953125,1084,miss,1578.4527622690587,21.679999999999627,-94.00847352438183
1,8,10000,-52.722354888916016,1250,timeout,1380.4591684481193,24.999999999999556,-115.41377012778841
1,9,14136,6.514080047607422,1250,timeout,207.36594380581644,24.999999999999556,-116.78353281810503
1,10,14336,-54.35757827758789,1250,timeout,1302.247722201923,24.999999999999556,-104.67625662484981
1,11,14336,-59.61532974243164,1250,timeout,1670.776622969091,24.999999999999556,-130.61578411383533
1,12,15000,-55.69636154174805,1250,timeout,1216.186147793595,24.999999999999556,-70.38082951899567
1,13,19136,-46.91991424560547,1250,timeout,1084.1857449993734,24.999999999999556,-121.21242226801249
1,14,19264,-53.321163177490234,1066,miss,1506.2894745344531,21.319999999999634,-72.3986247803618
1,15,19336,-53.09097671508789,1250,timeout,1322.1403962874658,24.999999999999556,-167.27367329187626
1,16,19336,-29.004547119140625,1250,timeout,682.5293092100483,24.999999999999556,-73.99846752767456
2,17,22940,137.2445068359375,615,hit,2.340481101652149,12.299999999999827,139.93426146259927
2,18,25132,-35.218421936035156,1163,miss,749.3122099704112,23.259999999999593,-108.00984576848785
2,19,25480,-21.023128509521484,1250,timeout,629.5486668127792,24.999999999999556,-96.28138208582271
2,20,25480,-2.225191116333008,1250,timeout,234.26267607888397,24.999999999999556,-116.38130964298762
2,21,27940,-23.8161678314209,1250,timeout,660.0843173511754,24.999999999999556,-101.1622555130001
2,22,30132,1.7313671112060547,1250,timeout,265.40980873625193,24.999999999999556,-100.8832070452502
2,23,30480,-17.78594970703125,1250,timeout,504.594397613695,24.999999999999556,-123.0561481827356
2,24,30480,-24.395172119140625,1250,timeout,684.7427744647646,24.999999999999556,-99.88719625720498
2,25,32940,-66.23030090332031,1250,timeout,1735.006174488031,24.999999999999556,-70.2801708768517
2,26,35132,-8.589090347290039,1250,timeout,410.355654156176,24.999999999999556,-64.52035766976297
2,27,35480,-4.479398727416992,1250,timeout,190.11839851975688,24.999999999999556,-86.55760792714108
2,28,35480,-29.02529525756836,1250,timeout,688.6446265191441,24.999999999999556,-110.49872053130088
2,29,37940,-34.984901428222656,1250,timeout,752.1153212530005,24.999999999999556,-88.83953177705885
2,30,40132,-59.64128875732422,1250,timeout,1749.6225940404954,24.999999999999556,-70.72304991903216
2,31,40480,-25.75411033630371,1250,timeout,592.0130618144838,24.999999999999556,-119.4259038178711
2,32,40480,-61.839637756347656,1250,timeout,2219.037774144801,24.999999999999556,-69.91539961273445
3,33,45960,-16.750812530517578,1250,timeout,486.8097014068335,24.999999999999556,-62.22501927210034
3,34,45960,-14.316248893737793,1250,timeout,384.05093900691327,24.999999999999556,-58.093854494364464
3,35,45960,22.42732048034668,1250,timeout,97.74550679915356,24.999999999999556,-102.26987441697861
3,36,45960,16.123001098632812,1250,timeout,165.25349133167748,24.999999999999556,-101.58687595935932
3,37,49640,135.22900390625,920,hit,4.61262755963675,18.399999999999697,143.98506856039688
3,38,50684,14.732303619384766,1181,miss,28.244290875055754,23.619999999999585,-59.962270969628214
3,39,50960,27.064983367919922,1250,timeout,12.594824253727337,24.999999999999556,-107.51494499185773
3,40,50960,7.4377546310424805,1250,timeout,118.8268574223915,24.999999999999556,-71.70787391682973
3,41,51852,135.5692901611328,553,hit,4.126764551386659,11.059999999999853,140.80518472229414
3,42,55684,14.726879119873047,1250,timeout,62.259037601839466,24.999999999999556,-97.4661004794772
3,43,55960,10.062860488891602,1250,timeout,14.604805891457143,24.999999999999556,-76.10113713081937
3,44,55960,31.380207061767578,1250,timeout,9.22862564341238,24.999999999999556,-66.56118495805757
3,45,56852,30.503511428833008,1250,timeout,11.026928332479336,24.999999999999556,-81.33588366643144
3,46,60660,12.78044319152832,1244,miss,7.981410660438027,24.87999999999956,-111.28458069321321
3,47,60960,-12.751730918884277,1250,timeout,337.2553711195027,24.999999999999556,-128.53034108437973
3,48,60960,0.12756824493408203,1250,timeout,279.5690347939103,24.999999999999556,-74.64856640944518
4,49,64028,133.90982055664062,647,hit,3.6346965667198434,12.939999999999813,146.99561711858104
4,50,65984,19.695016860961914,1136,miss,17.070696692803384,22.719999999999605,-133.19359760431587
4,51,66440,31.44068145751953,1250,timeout,5.205815053664393,24.999999999999556,-73.5550904262684
4,52,66440,28.656400680541992,1250,timeout,10.666955035347598,24.999999999999556,-71.1018122257355
4,53,67524,123.25592041015625,271,hit,4.559820255297629,5.419999999999972,116.90810258879594
4,54,68504,128.16726684570312,516,hit,2.807853752854118,10.319999999999869,143.89646024870797
4,55,69028,20.762422561645508,1250,timeout,7.774191293494691,24.999999999999556,-92.4520603164472
4,56,69924,133.43324279785156,355,hit,3.37849539069895,7.099999999999937,128.08179028821579
4,57,70984,2.053577423095703,1250,timeout,7.939757370252408,24.999999999999556,-88.53892178031761
4,58,72036,122.61323547363281,1128,hit,4.715330352520977,22.559999999999608,123.07132265507238
4,59,74028,-5.367717742919922,1250,timeout,28.084289536204675,24.999999999999556,-100.90921860524841
4,60,74752,129.1486358642578,679,hit,3.178857108709441,13.5799999999998,146.0379318782907
4,61,74924,15.979708671569824,1250,timeout,13.232790364009604,24.999999999999556,-98.57251030895577
4,62,75984,16.998641967773438,1250,timeout,36.54400679839465,24.999999999999556,-82.4869125852425
4,63,79028,-43.03561782836914,1250,timeout,873.4623719213972,24.999999999999556,-62.39200493338695
4,64,79336,20.280485153198242,1103,miss,8.647150948986706,22.05999999999962,-115.33774856704245
4,65,79752,29.13391876220703,1250,timeout,9.055502594812056,24.999999999999556,-68.21402251338625
4,66,80924,133.42649841308594,397,hit,3.8734743700839034,7.939999999999919,127.01612062354076
4,67,80984,22.466564178466797,1250,timeout,7.945646668021387,24.999999999999556,-72.31484491813437
5,68,86920,26.608173370361328,1250,timeout,8.365611215416754,24.999999999999556,-93.07738064302985
5,69,86920,29.259952545166016,1250,timeout,5.155544058856663,24.999999999999556,-97.40361390397737
5,70,86920,21.929344177246094,1250,timeout,8.441449680522483,24.999999999999556,-117.38457049555045
5,71,86920,21.94361114501953,1250,timeout,45.91059296030776,24.999999999999556,-76.11690109468972
5,72,91236,3.5500335693359375,1079,miss,6.386846920534626,21.57999999999963,-102.39952738823978
5,73,91920,22.341798782348633,1250,timeout,22.10716390077135,24.999999999999556,-59.30625088746848
5,74,91920,17.998531341552734,1250,timeout,17.073093218866862,24.999999999999556,-94.2788786549842
5,75,91920,23.318872451782227,1250,timeout,6.006102139806433,24.999999999999556,-60.73159627788034
5,76,93608,134.64450073242188,422,hit,2.2357972267878745,8.439999999999909,126.84413675575209
5,77,96232,123.2964096069336,656,hit,2.9261619087596547,13.11999999999981,121.30036484837171
5,78,96236,23.934844970703125,1250,timeout,22.700431210976003,24.999999999999556,-82.23675868864835
5,79,96920,23.688961029052734,1250,timeout,7.454558265314803,24.999999999999556,-62.05255561954798
5,80,96920,17.500232696533203,1250,timeout,20.308909853539724,24.999999999999556,-133.71451586665478
5,81,101232,-50.82279968261719,1250,timeout,937.9343718870413,24.999999999999556,-69.28195640163612
5,82,101236,3.157223701477051,1250,timeout,198.5630226468917,24.999999999999556,-59.44746446766703
5,83,101348,113.62476348876953,1107,hit,3.4170312006949475,22.139999999999617,134.9085678186843
5,84,101920,16.515771865844727,1250,timeout,5.330921108175949,24.999999999999556,-82.81957732456098
