checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
7,1,1231768,152.1787872314453,742,hit,3.4094264429440444,14.839999999999772,154.85446594042205
7,2,1232712,158.65728759765625,978,hit,2.60466537681177,19.559999999999672,163.67501848770752
7,3,1233448,148.01223754882812,1162,hit,3.975585391890761,23.239999999999593,155.80895341188946
7,4,1235044,155.4654998779297,819,hit,4.74171933037198,16.37999999999974,156.95271760796345
7,5,1235208,139.38685607910156,1602,hit,4.127973348496053,32.03999999999941,152.81028208750024
7,6,1235704,155.9902801513672,748,hit,3.1966008729119775,14.95999999999977,151.80602590679075
7,7,1236316,160.19198608398438,717,hit,1.8619490396055398,14.339999999999783,156.21489251799545
7,8,1238340,146.242919921875,783,hit,4.296633305367939,15.659999999999755,159.82589433889083
7,9,1238648,154.29376220703125,901,hit,4.724428438989322,18.019999999999705,159.03614314094165
7,10,1239444,162.9749755859375,782,hit,2.259539035004373,15.639999999999755,159.14480723909207
7,11,1242012,160.23016357421875,1577,hit,3.63025960735914,31.539999999999417,155.6204485342741
7,12,1242656,154.2927703857422,803,hit,3.487764357270722,16.059999999999746,147.82739904746848
7,13,1245800,162.12716674804688,947,hit,2.660789277860985,18.939999999999685,166.5093756400284
7,14,1247340,-55.58926773071289,2250,timeout,7.036894162593035,45.000000000001435,-72.40836070233753
7,15,1247648,-112.67807006835938,2250,timeout,25.674686576478724,45.000000000001435,-83.0716262313651
7,16,1248012,159.65623474121094,1339,hit,3.1345382423200143,26.779999999999518,153.27263538861132
7,17,1250668,168.8142852783203,832,hit,0.9954203190864371,16.639999999999734,163.86222779936145
7,18,1252428,174.6124267578125,1195,hit,3.2424107005531617,23.89999999999958,151.39039502805215
7,19,1252560,147.52818298339844,1690,hit,3.922483812185765,33.799999999999685,154.16696011012272
7,20,1253356,151.2272186279297,1336,hit,3.5660173919643787,26.71999999999952,152.4048832941696
7,21,1255716,157.969482421875,789,hit,3.1284934723538074,15.779999999999752,157.2752129640528
7,22,1259668,-57.237369537353516,2250,timeout,5.973502710693158,45.000000000001435,-101.62220717131225
7,23,1260516,147.9954833984375,1200,hit,4.527792901677888,23.999999999999577,159.5931032535252
7,24,1260728,107.47637176513672,2075,hit,2.9143459948607977,41.50000000000089,139.29704068590735
7,25,1262356,-35.772918701171875,2250,timeout,7.210298043978557,45.000000000001435,-93.51846562492166
7,26,1263328,148.46771240234375,915,hit,4.717618245998639,18.2999999999997,165.13624604073692
7,27,1263812,159.9388427734375,771,hit,2.532758727445504,15.41999999999976,157.29615301495042
7,28,1265620,155.8298797607422,816,hit,4.8762334514873045,16.31999999999974,160.40528079646427
7,29,1266116,159.41400146484375,697,hit,2.154156569693461,13.939999999999792,155.5210284676454
7,30,1267380,175.61911010742188,892,hit,3.0478708652660917,17.83999999999971,165.99733300717423
7,31,1269516,-13.271770477294922,2250,timeout,5.159650554740383,45.000000000001435,-78.99505410660299
7,32,1269640,147.55148315429688,881,hit,4.431609103917764,17.619999999999713,161.4881351539509
7,33,1270388,162.06837463378906,752,hit,1.9210806434289611,15.039999999999768,157.18576935885022
7,34,1270764,155.37542724609375,1286,hit,4.771912221982365,25.71999999999954,158.96444274102814
7,35,1272800,139.8059539794922,790,hit,4.336630648717366,15.799999999999752,151.30660565433612
7,36,1274060,156.21157836914062,918,hit,4.307670408752919,18.359999999999697,151.0982462630614
7,37,1275408,147.63912963867188,652,hit,3.7940725725272553,13.03999999999981,151.07474633881156
7,38,1276360,144.6590576171875,1399,hit,4.213189569157619,27.979999999999492,150.38606229768277
7,39,1278516,-35.4560546875,2250,timeout,5.782921251009124,45.000000000001435,-76.78055503175057
7,40,1279032,155.90122985839844,906,hit,2.6936226432307127,18.119999999999703,165.29322297031814
7,41,1279552,167.09104919433594,798,hit,1.5304284809008297,15.959999999999749,159.10337937620477
7,42,1282476,151.492919921875,861,hit,3.6843027346161406,17.21999999999972,162.48537312353392
7,43,1282736,-43.18517303466797,2169,miss,8.504162191785225,43.38000000000118,-75.98352825000796
7,44,1283004,155.1514434814453,1122,hit,4.641715775968213,22.43999999999961,151.54218923645328
7,45,1284936,148.87716674804688,1346,hit,3.356433944358781,26.919999999999515,150.91260576843803
7,46,1286168,156.7525634765625,858,hit,2.20232968442239,17.159999999999723,148.6494512219432
7,47,1286168,142.13836669921875,923,hit,4.5760466856322255,18.459999999999695,147.38647376769998
7,48,1286204,169.3526153564453,800,hit,1.2836825079035774,15.999999999999748,158.87082580257564
7,49,1287884,162.4971160888672,737,hit,1.4205889482751441,14.739999999999775,153.11339600126075
7,50,1289456,146.0310821533203,822,hit,4.8983005502894645,16.43999999999974,162.78310257588794
7,51,1289604,155.8197021484375,850,hit,3.8821006037453496,16.999999999999726,161.4762048995558
7,52,1290564,153.494873046875,670,hit,3.648252584741239,13.399999999999803,152.37295969184288
7,53,1291488,160.59561157226562,1330,hit,4.442138639117812,26.599999999999522,148.0257051090018
7,54,1293624,153.43885803222656,1042,hit,4.294064902213751,20.839999999999645,161.53622082511345
7,55,1293920,164.25619506835938,839,hit,1.7644915118063182,16.77999999999973,148.66347127076364
7,56,1295284,173.98057556152344,949,hit,2.8092571595566596,18.979999999999684,162.98684480755043
7,57,1297812,172.91989135742188,973,hit,4.314977464632163,19.459999999999674,164.8798683350413
7,58,1297888,71.50578308105469,2071,hit,4.790213186740732,41.420000000000876,139.20544645691703
7,59,1298008,135.23638916015625,681,hit,4.9425542155477675,13.619999999999798,151.46586093929324
7,60,1298332,149.781005859375,1177,hit,2.7046419747333657,23.539999999999587,148.6513705932466
7,61,1300768,173.6407012939453,739,hit,1.3425553739709735,14.779999999999774,155.86796130224587
7,62,1300836,163.0465087890625,707,hit,1.8761874293371703,14.139999999999787,156.6198613207718
7,63,1305768,174.93963623046875,1233,hit,3.4535522418966473,24.659999999999563,157.87284934273924
7,64,1306444,85.09092712402344,2139,hit,4.244676314184614,42.78000000000109,130.016613133814
7,65,1307332,-58.71078872680664,2250,timeout,6.91219765811762,45.000000000001435,-90.92382890201088
7,66,1309296,158.64410400390625,882,hit,2.8865906592398485,17.639999999999713,166.27621118928727
7,67,1309768,-35.38724899291992,2250,timeout,6.021585545055409,45.000000000001435,-84.07088836004999
7,68,1309892,160.33119201660156,862,hit,1.787987944418492,17.23999999999972,161.8934166183563
7,69,1311196,171.37704467773438,966,hit,4.8925689039195355,19.319999999999677,163.514334819442
7,70,1312336,151.26669311523438,760,hit,3.358604484636598,15.199999999999765,159.38948479336972
7,71,1313576,166.4937744140625,921,hit,4.115894380770221,18.419999999999696,166.00701607120322
7,72,1314696,160.25888061523438,1232,hit,4.400314699097915,24.639999999999564,147.72145983787735
7,73,1316204,159.9031524658203,1252,hit,4.253355166539469,25.039999999999555,157.40368658421767
7,74,1320284,151.41299438476562,1397,hit,4.977425453668735,27.939999999999493,152.2538858477387
7,75,1321336,-20.41851806640625,2250,timeout,6.490349300094215,45.000000000001435,-85.9963984014969
7,76,1322576,-48.503170013427734,2250,timeout,6.881492644748937,45.000000000001435,-66.92067497673406
7,77,1323964,141.24395751953125,657,hit,4.182131408783181,13.139999999999809,151.45989721452113
7,78,1324388,6.2205810546875,2046,miss,7.887576073273015,40.9200000000008,-60.08225798637673
7,79,1326916,171.94723510742188,738,hit,2.361419932338702,14.759999999999774,159.42163166491042
7,80,1327820,145.32688903808594,1311,hit,4.217298663561155,26.21999999999953,142.36196724795917
7,81,1327840,1.6654548645019531,1889,miss,7.693760274985374,37.78000000000031,-62.852405240390446
7,82,1327900,160.833740234375,878,hit,2.434497244108967,17.559999999999715,164.44776447604983
7,83,1330604,141.10986328125,676,hit,3.7692775321748586,13.5199999999998,150.38318335886856
7,84,1330636,143.93972778320312,699,hit,4.841822118115193,13.97999999999979,156.55518832583914
7,85,1330788,155.7918243408203,968,hit,3.8409891312734676,19.359999999999676,164.7955235268693
7,86,1335076,145.57664489746094,1072,hit,3.871261568117291,21.439999999999632,151.37511602256996
7,87,1335380,150.09188842773438,1186,hit,2.9836577037149445,23.719999999999583,150.5556619135969
7,88,1336820,-61.390228271484375,2250,timeout,10.619241577030175,45.000000000001435,-72.08279148097351
7,89,1338392,151.84390258789062,829,hit,3.4094982570959047,16.579999999999735,158.0679266520405
7,90,1339604,-58.246150970458984,2250,timeout,14.919842996319225,45.000000000001435,-82.98721050852099
7,91,1340244,161.4225616455078,856,hit,2.2080378039357975,17.119999999999724,162.35945494434412
7,92,1340868,161.81124877929688,1372,hit,3.533918824161615,27.439999999999504,154.96671248900003
7,93,1343576,164.2738800048828,993,hit,4.281669260886746,19.859999999999665,156.68931843234176
7,94,1344664,147.6155242919922,1105,hit,4.071597274006194,22.099999999999618,146.9501366990429
7,95,1345132,168.81881713867188,1066,hit,2.122048908567977,21.319999999999634,153.70389784990752
7,96,1346764,155.3651123046875,797,hit,2.294926191916889,15.939999999999749,156.98030869250158
7,97,1347392,-4.919677734375,2250,timeout,5.238545881929634,45.000000000001435,-80.13162669801403
7,98,1348228,174.55743408203125,891,hit,0.49674005822555073,17.81999999999971,160.96155669128478
7,99,1348572,178.10299682617188,860,hit,0.3866275625498633,17.199999999999722,160.69426341845923
7,100,1351668,166.4521484375,774,hit,2.2670104959730972,15.479999999999759,158.68677478362093
7,101,1355764,-62.684165954589844,2250,timeout,17.851349442738133,45.000000000001435,-72.16575262803696
7,102,1356392,-28.00262451171875,2250,timeout,6.2169897026351375,45.000000000001435,-69.05458098886041
7,103,1357228,-35.722084045410156,2250,timeout,5.582745766948968,45.000000000001435,-69.61657233426385
7,104,1360488,-43.941925048828125,2205,miss,6.611317556694529,44.100000000001295,-82.7240127565776
7,105,1364076,162.0579376220703,897,hit,2.4262613600473144,17.939999999999706,153.39554030072432
7,106,1364588,-10.306747436523438,2049,miss,5.5682275119735385,40.98000000000081,-68.0862109981393
7,107,1364764,-41.33836364746094,2250,timeout,5.5775591871754076,45.000000000001435,-78.65116563061073
7,108,1366228,-41.5416374206543,2250,timeout,7.619084438051989,45.000000000001435,-82.38034639238816
7,109,1367928,160.78025817871094,835,hit,3.314889924052534,16.699999999999733,162.50897525698053
7,110,1369452,161.12582397460938,1344,hit,4.0392366398168935,26.879999999999516,157.77749789324852
7,111,1369824,160.53431701660156,899,hit,4.792529154693648,17.979999999999706,160.23711029281745
7,112,1370560,140.08779907226562,658,hit,4.175422679813078,13.159999999999808,152.64913931932728
7,113,1372688,151.4100799560547,716,hit,2.749792687775227,14.319999999999784,151.6162857970508
7,114,1373764,-65.60533142089844,2250,timeout,5.263077383771714,45.000000000001435,-106.5796812703787
7,115,1374536,156.9597930908203,1271,hit,4.3422397327442255,25.419999999999547,156.28297444287486
7,116,1375372,150.27774047851562,671,hit,3.6461661150946467,13.419999999999803,154.4905856955918
7,117,1376760,162.28846740722656,749,hit,1.9949293197503497,14.97999999999977,157.297165042719
7,118,1379560,-88.52458190917969,2250,timeout,5.2964016801448235,45.000000000001435,-77.23595708292429
7,119,1380492,163.1346435546875,1489,hit,3.572390110788167,29.779999999999454,152.81265028619953
7,120,1380580,173.27078247070312,955,hit,2.997141237706824,19.09999999999968,157.42729830266092
7,121,1380740,152.58251953125,1342,hit,2.970661932305355,26.839999999999517,156.57580296422734
7,122,1382900,156.22540283203125,835,hit,3.2729368880490624,16.699999999999733,160.8958104241045
7,123,1383372,154.29739379882812,658,hit,3.3896763028728762,13.159999999999808,153.3382106287585
7,124,1383408,155.8223114013672,707,hit,1.7025838497911923,14.139999999999787,150.18856584320375
7,125,1384336,171.38369750976562,961,hit,1.0067562167099529,19.21999999999968,164.2223278059895
7,126,1385440,162.3410186767578,635,hit,4.296957473413871,12.699999999999818,151.49703167069725
7,127,1386608,169.7181854248047,800,hit,1.114625736011503,15.999999999999748,162.38558703297488
7,128,1387560,160.5729522705078,806,hit,2.343168495910553,16.119999999999745,161.92587200562934
7,129,1388072,149.6517791748047,658,hit,2.864816150578702,13.159999999999808,151.77994555868068
7,130,1389540,160.51611328125,733,hit,1.8568203455704868,14.659999999999776,154.78384651056774
7,131,1392372,-33.61349105834961,2250,timeout,7.539371633903546,45.000000000001435,-70.2966459391459
7,132,1396560,-67.82865142822266,2250,timeout,5.660969301145301,45.000000000001435,-97.7953480650232
7,133,1397072,-4.513029098510742,2250,timeout,5.582113770068789,45.000000000001435,-72.83543615066426
7,134,1398536,160.61741638183594,1541,hit,2.7025434957470766,30.819999999999432,158.1084331637578
7,135,1398540,-62.157859802246094,2250,timeout,6.984709974732105,45.000000000001435,-75.61011249736585
7,136,1400268,154.25173950195312,927,hit,4.306466159865126,18.539999999999694,161.68553812221415
7,137,1401364,166.17514038085938,1073,hit,4.304421179284912,21.45999999999963,157.01941382910564
7,138,1401468,153.38356018066406,733,hit,2.515433892868347,14.659999999999776,156.42923949889234
7,139,1404104,167.34848022460938,685,hit,2.0652750733657586,13.699999999999797,156.26282475102414
