checkpoint,episode,total_timesteps,episode_reward,episode_length,outcome,min_range_m,final_time_s,legacy_episode_reward
7,1,1231768,157.00894165039062,742,hit,2.0318769832885573,14.839999999999772,156.1661318934123
7,2,1233436,168.18777465820312,1159,hit,2.985189627985805,23.179999999999595,159.08408373750584
7,3,1235048,151.4538116455078,820,hit,3.9828277336259212,16.39999999999974,160.8859577191141
7,4,1235220,149.00445556640625,1605,hit,3.0619034043886533,32.09999999999942,162.7143184232625
7,5,1236316,163.6784210205078,720,hit,1.52851331747876,14.399999999999782,154.57107280199818
7,6,1237800,-37.22536087036133,2250,timeout,6.283196709442656,45.000000000001435,-56.37832165064487
7,7,1238468,169.12600708007812,855,hit,1.1634932936947677,17.099999999999724,163.56143555855448
7,8,1238928,155.8687744140625,653,hit,2.3495242374231227,13.05999999999981,155.09552623060353
7,9,1241616,159.1974334716797,787,hit,3.70732826117476,15.739999999999753,159.77980131148342
7,10,1243092,157.68507385253906,1323,hit,3.612835871385133,26.459999999999525,162.3125942836329
7,11,1244220,-34.920658111572266,2250,timeout,10.40018896531633,45.000000000001435,-64.49109551590936
7,12,1245448,156.99636840820312,958,hit,4.881094584040285,19.15999999999968,145.61532705651655
7,13,1246700,173.4097900390625,902,hit,1.3376905614945256,18.039999999999704,173.2016442488482
7,14,1247248,158.68626403808594,757,hit,2.2918178655508603,15.139999999999766,163.23876080491186
7,15,1247928,-37.814971923828125,2250,timeout,7.622088089070869,45.000000000001435,-54.72215786381344
7,16,1249972,158.07493591308594,681,hit,3.1950195371581245,13.619999999999798,154.36722620853925
7,17,1251096,155.1453857421875,792,hit,4.395450445678128,15.839999999999751,167.42668764065598
7,18,1253572,154.0530242919922,1718,hit,4.273978363788787,34.35999999999977,161.65588820093234
7,19,1254448,12.51611328125,2250,timeout,5.3585641137544,45.000000000001435,-79.07073279705591
7,20,1254632,152.2320556640625,1165,hit,4.513605463940267,23.299999999999592,156.35656839650872
7,21,1256632,153.05215454101562,765,hit,4.941167233645596,15.299999999999763,156.68986263227993
7,22,1259236,142.50335693359375,1151,hit,1.8449353531826,23.019999999999598,143.50839778410887
7,23,1260096,-43.75128173828125,2250,timeout,5.877084008501741,45.000000000001435,-99.19919043674169
7,24,1260184,146.8574981689453,888,hit,3.5454761397325667,17.75999999999971,158.26746054074354
7,25,1260460,149.67507934570312,1503,hit,4.919083618287388,30.059999999999448,165.31725837433393
7,26,1262212,150.4076690673828,744,hit,2.8087226398063083,14.879999999999772,152.39326149619154
7,27,1265812,168.42788696289062,900,hit,2.238303844410028,17.999999999999705,165.94014427543007
7,28,1266116,161.66363525390625,1483,hit,2.9789079277041104,29.659999999999457,160.0817114436661
7,29,1268888,142.61691284179688,769,hit,4.48571346931904,15.379999999999761,162.64376051140414
7,30,1269096,-89.62232971191406,2250,timeout,6.358023998616781,45.000000000001435,-83.5981779391241
7,31,1269372,-74.53560638427734,2228,miss,7.931079645921255,44.56000000000137,-101.65040960425694
7,32,1270888,139.00259399414062,1193,hit,4.229114909834617,23.85999999999958,147.16301193966183
7,33,1273508,158.41336059570312,1155,hit,2.641146867436926,23.099999999999596,157.17035249084614
7,34,1274568,140.60365295410156,1299,hit,4.604970165054147,25.979999999999535,152.25442503420163
7,35,1276040,157.50851440429688,633,hit,4.944998192037703,12.659999999999819,151.0113705339067
7,36,1278096,-13.63592529296875,2250,timeout,5.00569885988746,45.000000000001435,-74.64203526998527
7,37,1278192,160.49249267578125,906,hit,2.4947247101820422,18.119999999999703,170.22640211218962
7,38,1279888,-78.30094909667969,2250,timeout,7.26737078063018,45.000000000001435,-63.57118747698704
