noise_scale,seed_index,miss_distance_m
0.0,0,4.424045661019124
0.0,1,4.424045661019124
0.0,2,4.424045661019124
0.0,3,4.424045661019124
0.0,4,4.424045661019124
0.0,5,4.424045661019124
0.0,6,4.424045661019124
2.0,0,4.660093313586933
2.0,1,4.922896128648472
2.0,2,3.565642968479753
2.0,3,4.747928495303235
2.0,4,3.6043041579162716
2.0,5,2.9952716022242716
2.0,6,3.9794351343991834
5.0,0,1042.4311257442669
5.0,1,1776.3605908844222
5.0,2,2067.296175789649
5.0,3,4.926913397048694
5.0,4,9.41968653720156
5.0,5,82.45596278156404
5.0,6,3.8057659045818353
12.0,0,3237.407991218723
12.0,1,3047.646209828552
12.0,2,2935.286567499921
12.0,3,2752.082594629153
12.0,4,1784.3381045848653
12.0,5,1460.6361354662538
12.0,6,1497.8417823073023
