scenario,group,maneuver,guidance_mode,hit,outcome,miss_distance_m,time_s,peak_cmd_lateral_m_s2,mean_cmd_lateral_m_s2,peak_achieved_lateral_m_s2
no_maneuver_center,A,none,PN,True,hit,3.395049963096545,16.31999999999974,14.096187585059274,1.6152207386194517,5.380839970685148
no_maneuver_center,A,none,APN,True,hit,3.395049963096545,16.31999999999974,14.096187585059274,1.6152207386194517,5.380839970685148
no_maneuver_center,A,none,OGL,True,hit,0.613146631950824,16.31999999999974,161.86055696966034,2.0950980902247682,27.705351963757614
no_maneuver_center,A,none,RL,True,hit,3.033720247733023,16.41999999999974,156.05016292788824,6.127049092809413,54.14536259816954
no_maneuver_demo,A,none,PN,True,hit,2.6493524754133815,17.73999999999971,25.014653722571914,3.176245009250376,10.998242898113844
no_maneuver_demo,A,none,APN,True,hit,2.6493524754133815,17.73999999999971,25.014653722571914,3.176245009250376,10.998242898113844
no_maneuver_demo,A,none,OGL,True,hit,2.981924263275205,17.71999999999971,108.74848146696897,3.6812502619983127,25.876630703262936
no_maneuver_demo,A,none,RL,True,hit,1.2291061736251598,17.899999999999707,119.83349827449892,8.173238822372332,98.91525151754786
no_maneuver_offset,A,none,PN,True,hit,4.555546965340377,20.359999999999655,44.126299144374315,4.743882739458745,17.068194089842848
no_maneuver_offset,A,none,APN,True,hit,4.555546965340377,20.359999999999655,44.126299144374315,4.743882739458745,17.068194089842848
no_maneuver_offset,A,none,OGL,True,hit,1.6560403992762087,20.339999999999655,245.16625,5.651875888943656,58.59562405188666
no_maneuver_offset,A,none,RL,True,hit,3.209523023535913,20.59999999999965,107.04878605439794,5.522045452474059,83.23739396430211
constant_turn_left_3g,B,constant_turn,PN,False,timeout,974.7224161347336,24.999999999999556,34.124633217709025,15.650110959301854,34.00158878851161
constant_turn_left_3g,B,constant_turn,APN,False,timeout,2099.7800504158317,24.999999999999556,66.03411909488813,35.56055752516538,64.46553121936108
constant_turn_left_3g,B,constant_turn,OGL,False,timeout,1941.965147909034,24.999999999999556,43.98100524887454,22.93768982272908,43.86542489705815
constant_turn_left_3g,B,constant_turn,RL,False,timeout,831.8256803088682,24.999999999999556,86.46880971117837,22.72210358173501,68.3754251510683
constant_turn_right_5g,B,constant_turn,PN,False,timeout,1193.8730808742869,24.999999999999556,41.32184895752684,18.087503836075193,40.90409909835856
constant_turn_right_5g,B,constant_turn,APN,False,timeout,3853.293623576083,24.999999999999556,92.76692778009799,68.28497052022514,91.94947104103854
constant_turn_right_5g,B,constant_turn,OGL,False,timeout,3733.2824242890074,24.999999999999556,73.18829357734569,32.976920673227056,71.53039766407085
constant_turn_right_5g,B,constant_turn,RL,False,timeout,1452.7831765406463,24.999999999999556,62.866496728486624,34.164617615844506,52.933089272944954
constant_turn_left_7g,B,constant_turn,PN,False,timeout,2164.4342799010483,24.999999999999556,39.03677949188728,18.015687129258094,38.61204957866951
constant_turn_left_7g,B,constant_turn,APN,False,timeout,5296.494512810749,24.999999999999556,118.04949564169453,95.47331731002825,116.68201237332221
constant_turn_left_7g,B,constant_turn,OGL,False,timeout,5198.142162971895,24.999999999999556,102.15360169057995,37.59199597514187,96.6212474875405
constant_turn_left_7g,B,constant_turn,RL,False,timeout,2514.584781142857,24.999999999999556,135.6155142944982,52.93461960937278,107.25871748000964
weave_3g_055hz,A,weave,PN,True,hit,0.20640294797776373,16.37999999999974,245.16625,10.362929260761765,146.28067565100937
weave_3g_055hz,A,weave,APN,True,hit,4.508041000276913,16.35999999999974,245.16625000000002,37.209956076320424,95.54742775152417
weave_3g_055hz,A,weave,OGL,True,hit,1.4543253371451412,16.35999999999974,245.16625000000002,27.620501330296147,73.00771570102232
weave_3g_055hz,A,weave,RL,False,timeout,7.412597834711711,24.999999999999556,245.16625000000005,124.88751330866889,235.52723714275655
weave_5g_070hz,A,weave,PN,True,hit,2.0595259819069667,17.619999999999713,245.16625000000002,11.088428005958816,166.74223013418262
weave_5g_070hz,A,weave,APN,True,hit,3.1704167239034975,17.619999999999713,245.16625,55.169053595108004,146.70835173774822
weave_5g_070hz,A,weave,OGL,True,hit,4.517754108694309,17.599999999999714,245.16625,41.51578750785475,180.6691225043299
weave_5g_070hz,A,weave,RL,True,hit,4.117097597896631,17.69999999999971,245.16625000000005,125.27461680443443,201.29401467398824
weave_7g_090hz,A,weave,PN,True,hit,3.6080034072561458,20.019999999999662,245.16625000000002,10.798530514068114,111.95975199432779
weave_7g_090hz,A,weave,APN,True,hit,1.869711232786803,20.03999999999966,245.16625000000002,65.08412808140426,147.0342603661097
weave_7g_090hz,A,weave,OGL,True,hit,4.289058794089342,19.999999999999662,245.16625,48.03688660139574,95.58657480943825
weave_7g_090hz,A,weave,RL,True,hit,4.095888678010289,20.13999999999966,245.16625000000005,126.3000093516677,217.06636606532186
